operation_id,primitive_type,placement_config,start_time_ns,end_time_ns,latency_ns,tier_path,num_tier_crossings,was_exception,exception_type
1,2,unknown,2293866455,2294607293,740838,S->D->D->S,4,0,0
2,2,unknown,2345285063,2345911180,626117,S->D->D->S,4,0,0
3,2,unknown,2396286775,2396883021,596246,S->D->D->S,4,0,0
4,2,unknown,2448294238,2449487183,1192945,S->D->D->S,4,0,0
5,2,unknown,2500349261,2501071927,722666,S->D->D->S,4,0,0
6,2,unknown,2552289962,2552924170,634208,S->D->D->S,4,0,0
7,2,unknown,2603283988,2603963642,679654,S->D->D->S,4,0,0
8,2,unknown,2655285893,2655941578,655685,S->D->D->S,4,0,0
9,2,unknown,2707282173,2707898919,616746,S->D->D->S,4,0,0
10,2,unknown,2758285785,2758913513,627728,S->D->D->S,4,0,0
11,2,unknown,2809278685,2809903020,624335,S->D->D->S,4,0,0
12,2,unknown,2860285273,2861004819,719546,S->D->D->S,4,0,0
13,2,unknown,2912285310,2912931977,646667,S->D->D->S,4,0,0
14,2,unknown,2963285035,2963947972,662937,S->D->D->S,4,0,0
15,2,unknown,3014286451,3014898307,611856,S->D->D->S,4,0,0
16,2,unknown,3065286941,3065927323,640382,S->D->D->S,4,0,0
17,2,unknown,3116283097,3116982439,699342,S->D->D->S,4,0,0
18,2,unknown,3168284036,3168879181,595145,S->D->D->S,4,0,0
19,2,unknown,3219281634,3219863889,582255,S->D->D->S,4,0,0
20,2,unknown,3270281788,3270980538,698750,S->D->D->S,4,0,0
21,2,unknown,3322280503,3322885767,605264,S->D->D->S,4,0,0
22,2,unknown,3373282722,3373889062,606340,S->D->D->S,4,0,0
23,2,unknown,3424285435,3424920341,634906,S->D->D->S,4,0,0
24,2,unknown,3475282917,3475890041,607124,S->D->D->S,4,0,0
25,2,unknown,3526278732,3526881048,602316,S->D->D->S,4,0,0
26,2,unknown,3577284151,3577864556,580405,S->D->D->S,4,0,0
27,2,unknown,3628284340,3628947165,662825,S->D->D->S,4,0,0
28,2,unknown,3680285028,3680892690,607662,S->D->D->S,4,0,0
29,2,unknown,3731284185,3731940726,656541,S->D->D->S,4,0,0
30,2,unknown,3782283927,3782953457,669530,S->D->D->S,4,0,0
31,2,unknown,3834282655,3834861259,578604,S->D->D->S,4,0,0
32,2,unknown,3885285508,3885935886,650378,S->D->D->S,4,0,0
33,2,unknown,3937285059,3937905134,620075,S->D->D->S,4,0,0
34,2,unknown,3988283198,3988916256,633058,S->D->D->S,4,0,0
35,2,unknown,4039284712,4039895018,610306,S->D->D->S,4,0,0
36,2,unknown,4090286846,4090950664,663818,S->D->D->S,4,0,0
37,2,unknown,4142285057,4142904316,619259,S->D->D->S,4,0,0
38,2,unknown,4193285333,4193954310,668977,S->D->D->S,4,0,0
39,2,unknown,4244282975,4244918048,635073,S->D->D->S,4,0,0
40,2,unknown,4295281810,4295907258,625448,S->D->D->S,4,0,0
41,2,unknown,4346285596,4346908737,623141,S->D->D->S,4,0,0
42,2,unknown,4397303762,4397958691,654929,S->D->D->S,4,0,0
43,2,unknown,4448287341,4448900659,613318,S->D->D->S,4,0,0
44,2,unknown,4499287226,4499937365,650139,S->D->D->S,4,0,0
45,2,unknown,4550761557,4551469971,708414,S->D->D->S,4,0,0
46,2,unknown,4602283619,4602944726,661107,S->D->D->S,4,0,0
47,2,unknown,4653285503,4653942445,656942,S->D->D->S,4,0,0
48,2,unknown,4704282362,4704901102,618740,S->D->D->S,4,0,0
49,2,unknown,4755281560,4755895943,614383,S->D->D->S,4,0,0
50,2,unknown,4806292506,4806884209,591703,S->D->D->S,4,0,0
51,2,unknown,4857284155,4857862585,578430,S->D->D->S,4,0,0
52,2,unknown,4908285217,4908883348,598131,S->D->D->S,4,0,0
53,2,unknown,4959283865,4959951545,667680,S->D->D->S,4,0,0
54,2,unknown,5010283738,5010893972,610234,S->D->D->S,4,0,0
55,2,unknown,5061288420,5061906898,618478,S->D->D->S,4,0,0
56,2,unknown,5113285801,5113990338,704537,S->D->D->S,4,0,0
57,2,unknown,5165287306,5165969429,682123,S->D->D->S,4,0,0
58,2,unknown,5217284209,5217930073,645864,S->D->D->S,4,0,0
59,2,unknown,5268288639,5268935798,647159,S->D->D->S,4,0,0
60,2,unknown,5319284761,5319978059,693298,S->D->D->S,4,0,0
61,2,unknown,5370281665,5370904617,622952,S->D->D->S,4,0,0
62,2,unknown,5421285180,5421878119,592939,S->D->D->S,4,0,0
63,2,unknown,5472285072,5473024460,739388,S->D->D->S,4,0,0
64,2,unknown,5524284993,5524904275,619282,S->D->D->S,4,0,0
65,2,unknown,5575287020,5576072911,785891,S->D->D->S,4,0,0
66,2,unknown,5627336843,5627934063,597220,S->D->D->S,4,0,0
67,2,unknown,5679285010,5679922885,637875,S->D->D->S,4,0,0
