operation_id,primitive_type,placement_config,start_time_ns,end_time_ns,latency_ns,tier_path,num_tier_crossings,was_exception,exception_type
1,2,unknown,2199285916,2201508936,2223020,S->D->D->S,4,0,0
2,2,unknown,2252976168,2253662289,686121,S->D->D->S,4,0,0
3,2,unknown,2305033892,2305618468,584576,S->D->D->S,4,0,0
4,2,unknown,2355975046,2356606149,631103,S->D->D->S,4,0,0
5,2,unknown,2406997427,2407638872,641445,S->D->D->S,4,0,0
6,2,unknown,2457977574,2458587572,609998,S->D->D->S,4,0,0
7,2,unknown,2508970878,2509515666,544788,S->D->D->S,4,0,0
8,2,unknown,2559972372,2560609099,636727,S->D->D->S,4,0,0
9,2,unknown,2616544934,2617215122,670188,S->D->D->S,4,0,0
10,2,unknown,2667976076,2668615469,639393,S->D->D->S,4,0,0
11,2,unknown,2718978178,2719692213,714035,S->D->D->S,4,0,0
12,2,unknown,2770975687,2772874108,1898421,S->D->D->S,4,0,0
13,2,unknown,2823977485,2826200184,2222699,S->D->D->S,4,0,0
14,2,unknown,2876988443,2877863656,875213,S->D->D->S,4,0,0
15,2,unknown,2928977990,2931220535,2242545,S->D->D->S,4,0,0
16,2,unknown,2981980358,2984225412,2245054,S->D->D->S,4,0,0
17,2,unknown,3034975716,3044884280,9908564,S->D->D->S,4,0,0
18,2,unknown,3095972055,3096600202,628147,S->D->D->S,4,0,0
19,2,unknown,3147975400,3148596673,621273,S->D->D->S,4,0,0
20,2,unknown,3198977579,3199641248,663669,S->D->D->S,4,0,0
21,2,unknown,3250973413,3251604110,630697,S->D->D->S,4,0,0
22,2,unknown,3301975797,3302595909,620112,S->D->D->S,4,0,0
23,2,unknown,3352972537,3353593801,621264,S->D->D->S,4,0,0
24,2,unknown,3403973783,3404604342,630559,S->D->D->S,4,0,0
25,2,unknown,3454973141,3455594360,621219,S->D->D->S,4,0,0
26,2,unknown,3505975983,3506598721,622738,S->D->D->S,4,0,0
27,2,unknown,3556973435,3557665101,691666,S->D->D->S,4,0,0
28,2,unknown,3608975140,3609599856,624716,S->D->D->S,4,0,0
29,2,unknown,3659977925,3660584706,606781,S->D->D->S,4,0,0
30,2,unknown,3710979601,3711619703,640102,S->D->D->S,4,0,0
31,2,unknown,3761978377,3762609147,630770,S->D->D->S,4,0,0
32,2,unknown,3812977771,3813629280,651509,S->D->D->S,4,0,0
33,2,unknown,3863976033,3864604086,628053,S->D->D->S,4,0,0
34,2,unknown,3914974912,3915621930,647018,S->D->D->S,4,0,0
35,2,unknown,3966974004,3967607872,633868,S->D->D->S,4,0,0
36,2,unknown,4019029743,4019638770,609027,S->D->D->S,4,0,0
37,2,unknown,4070972248,4071638462,666214,S->D->D->S,4,0,0
38,2,unknown,4122977652,4123595752,618100,S->D->D->S,4,0,0
39,2,unknown,4173978562,4174620995,642433,S->D->D->S,4,0,0
40,2,unknown,4224971472,4225607038,635566,S->D->D->S,4,0,0
41,2,unknown,4275973237,4276648170,674933,S->D->D->S,4,0,0
42,2,unknown,4327971788,4328643428,671640,S->D->D->S,4,0,0
43,2,unknown,4378976172,4379626103,649931,S->D->D->S,4,0,0
44,2,unknown,4429971473,4430598732,627259,S->D->D->S,4,0,0
45,2,unknown,4480974707,4481664171,689464,S->D->D->S,4,0,0
46,2,unknown,4532967775,4533591293,623518,S->D->D->S,4,0,0
47,2,unknown,4583971602,4584618531,646929,S->D->D->S,4,0,0
48,2,unknown,4634971543,4635604499,632956,S->D->D->S,4,0,0
49,2,unknown,4685970222,4686569069,598847,S->D->D->S,4,0,0
50,2,unknown,4736971350,4737634757,663407,S->D->D->S,4,0,0
51,2,unknown,4787977984,4788617318,639334,S->D->D->S,4,0,0
52,2,unknown,4838968198,4839571386,603188,S->D->D->S,4,0,0
53,2,unknown,4889974323,4890586547,612224,S->D->D->S,4,0,0
54,2,unknown,4940971853,4941595082,623229,S->D->D->S,4,0,0
55,2,unknown,4992976122,4993598743,622621,S->D->D->S,4,0,0
56,2,unknown,5044969985,5045596952,626967,S->D->D->S,4,0,0
57,2,unknown,5095975672,5096625945,650273,S->D->D->S,4,0,0
58,2,unknown,5147969725,5148596021,626296,S->D->D->S,4,0,0
59,2,unknown,5198970901,5199587618,616717,S->D->D->S,4,0,0
60,2,unknown,5249973911,5250652142,678231,S->D->D->S,4,0,0
61,2,unknown,5300972808,5301680637,707829,S->D->D->S,4,0,0
62,2,unknown,5352969838,5353577819,607981,S->D->D->S,4,0,0
63,2,unknown,5403972088,5404682088,710000,S->D->D->S,4,0,0
64,2,unknown,5455973037,5456635418,662381,S->D->D->S,4,0,0
65,2,unknown,5507971613,5508782940,811327,S->D->D->S,4,0,0
66,2,unknown,5559981300,5560758159,776859,S->D->D->S,4,0,0
67,2,unknown,5611975864,5612654837,678973,S->D->D->S,4,0,0
68,2,unknown,5663973137,5664652970,679833,S->D->D->S,4,0,0
69,2,unknown,5715974640,5716673687,699047,S->D->D->S,4,0,0
70,2,unknown,5767975177,5768588424,613247,S->D->D->S,4,0,0
71,2,unknown,5818972047,5819621206,649159,S->D->D->S,4,0,0
72,2,unknown,5869971772,5870608904,637132,S->D->D->S,4,0,0
73,2,unknown,5920975626,5921648751,673125,S->D->D->S,4,0,0
74,2,unknown,5972971840,5973588493,616653,S->D->D->S,4,0,0
75,2,unknown,6023976705,6024617371,640666,S->D->D->S,4,0,0
76,2,unknown,6074974207,6075605044,630837,S->D->D->S,4,0,0
77,2,unknown,6125973851,6126597535,623684,S->D->D->S,4,0,0
78,2,unknown,6176977130,6177600881,623751,S->D->D->S,4,0,0
79,2,unknown,6227975217,6228590977,615760,S->D->D->S,4,0,0
80,2,unknown,6278972319,6279557502,585183,S->D->D->S,4,0,0
81,2,unknown,6329972038,6330554547,582509,S->D->D->S,4,0,0
82,2,unknown,6380972826,6381580046,607220,S->D->D->S,4,0,0
83,2,unknown,6431975223,6432648336,673113,S->D->D->S,4,0,0
84,2,unknown,6483971766,6484615445,643679,S->D->D->S,4,0,0
85,2,unknown,6534973898,6535604228,630330,S->D->D->S,4,0,0
86,2,unknown,6585972364,6586663446,691082,S->D->D->S,4,0,0
87,2,unknown,6637974893,6638670639,695746,S->D->D->S,4,0,0
88,2,unknown,6689974745,6690652285,677540,S->D->D->S,4,0,0
89,2,unknown,6741973487,6742664970,691483,S->D->D->S,4,0,0
90,2,unknown,6794020315,6794708914,688599,S->D->D->S,4,0,0
91,2,unknown,6845973919,6846585417,611498,S->D->D->S,4,0,0
92,2,unknown,6896973131,6897671800,698669,S->D->D->S,4,0,0
93,2,unknown,6948974152,6949616950,642798,S->D->D->S,4,0,0
94,2,unknown,6999975150,7000611755,636605,S->D->D->S,4,0,0
95,2,unknown,7050971755,7051573757,602002,S->D->D->S,4,0,0
96,2,unknown,7101973952,7102632461,658509,S->D->D->S,4,0,0
97,2,unknown,7152972672,7153661568,688896,S->D->D->S,4,0,0
98,2,unknown,7204978191,7205624049,645858,S->D->D->S,4,0,0
99,2,unknown,7255974539,7257067480,1092941,S->D->D->S,4,0,0
100,2,unknown,7307973638,7309121302,1147664,S->D->D->S,4,0,0
