operation_id,primitive_type,placement_config,start_time_ns,end_time_ns,latency_ns,tier_path,num_tier_crossings,was_exception,exception_type
1,2,unknown,2202078893,2202824924,746031,Unknown,0,0,0
2,2,unknown,2253698417,2254355896,657479,Unknown,0,0,0
3,2,unknown,2304722253,2305278673,556420,Unknown,0,0,0
4,2,unknown,2355713040,2356350474,637434,Unknown,0,0,0
5,2,unknown,2406690202,2407194381,504179,Unknown,0,0,0
6,2,unknown,2457693154,2458254544,561390,Unknown,0,0,0
7,2,unknown,2508686431,2509196243,509812,Unknown,0,0,0
8,2,unknown,2559691751,2560332999,641248,Unknown,0,0,0
9,2,unknown,2611686999,2612308094,621095,Unknown,0,0,0
10,2,unknown,2662693133,2663313518,620385,Unknown,0,0,0
11,2,unknown,2713686928,2714320851,633923,Unknown,0,0,0
12,2,unknown,2764691956,2765360927,668971,Unknown,0,0,0
13,2,unknown,2815688528,2816309562,621034,Unknown,0,0,0
14,2,unknown,2866698759,2867301016,602257,Unknown,0,0,0
15,2,unknown,2917690059,2918346293,656234,Unknown,0,0,0
16,2,unknown,2968695057,2969318075,623018,Unknown,0,0,0
17,2,unknown,3019698515,3031378101,11679586,Unknown,0,0,0
18,2,unknown,3083700991,3084466202,765211,Unknown,0,0,0
19,2,unknown,3135693659,3136326487,632828,Unknown,0,0,0
20,2,unknown,3186695917,3187342146,646229,Unknown,0,0,0
21,2,unknown,3238699082,3239370742,671660,Unknown,0,0,0
22,2,unknown,3289698331,3291253261,1554930,Unknown,0,0,0
23,2,unknown,3342700018,3343370551,670533,Unknown,0,0,0
24,2,unknown,3394700962,3395408424,707462,Unknown,0,0,0
25,2,unknown,3446694076,3447300633,606557,Unknown,0,0,0
26,2,unknown,3497695647,3498301879,606232,Unknown,0,0,0
27,2,unknown,3548693028,3549300461,607433,Unknown,0,0,0
28,2,unknown,3599691363,3600236421,545058,Unknown,0,0,0
29,2,unknown,3650695863,3651354234,658371,Unknown,0,0,0
30,2,unknown,3701695303,3702426045,730742,Unknown,0,0,0
31,2,unknown,3753699654,3754354731,655077,Unknown,0,0,0
32,2,unknown,3804696613,3805352669,656056,Unknown,0,0,0
33,2,unknown,3855693888,3856324433,630545,Unknown,0,0,0
34,2,unknown,3906691857,3907410704,718847,Unknown,0,0,0
35,2,unknown,3958694841,3959332860,638019,Unknown,0,0,0
36,2,unknown,4010698559,4011378440,679881,Unknown,0,0,0
37,2,unknown,4062692819,4063300454,607635,Unknown,0,0,0
38,2,unknown,4113698046,4114334471,636425,Unknown,0,0,0
39,2,unknown,4164722411,4165445741,723330,Unknown,0,0,0
40,2,unknown,4216698430,4236284960,19586530,Unknown,0,0,0
41,2,unknown,4287698373,4288726309,1027936,Unknown,0,0,0
42,2,unknown,4339695104,4348359817,8664713,Unknown,0,0,0
43,2,unknown,4399696243,4408372109,8675866,Unknown,0,0,0
44,2,unknown,4459703034,4472374353,12671319,Unknown,0,0,0
45,2,unknown,4523695856,4536396330,12700474,Unknown,0,0,0
46,2,unknown,4587687459,4599016068,11328609,Unknown,0,0,0
47,2,unknown,4649701031,4650432732,731701,Unknown,0,0,0
48,2,unknown,4701703090,4702410832,707742,Unknown,0,0,0
49,2,unknown,4753728921,4754448276,719355,Unknown,0,0,0
50,2,unknown,4805696833,4806312228,615395,Unknown,0,0,0
51,2,unknown,4856696570,4857334044,637474,Unknown,0,0,0
52,2,unknown,4907696596,4908298788,602192,Unknown,0,0,0
53,2,unknown,4958695164,4959303453,608289,Unknown,0,0,0
54,2,unknown,5009698873,5010321509,622636,Unknown,0,0,0
55,2,unknown,5060693863,5061288617,594754,Unknown,0,0,0
56,2,unknown,5111693160,5112301135,607975,Unknown,0,0,0
57,2,unknown,5162699329,5163362474,663145,Unknown,0,0,0
58,2,unknown,5214696880,5215350789,653909,Unknown,0,0,0
59,2,unknown,5265752451,5266366506,614055,Unknown,0,0,0
60,2,unknown,5317691280,5318274207,582927,Unknown,0,0,0
61,2,unknown,5368692611,5369318326,625715,Unknown,0,0,0
62,2,unknown,5419696678,5420395039,698361,Unknown,0,0,0
63,2,unknown,5471693499,5472357309,663810,Unknown,0,0,0
64,2,unknown,5522692093,5523314299,622206,Unknown,0,0,0
65,2,unknown,5573699487,5574350217,650730,Unknown,0,0,0
66,2,unknown,5625692631,5626345161,652530,Unknown,0,0,0
67,2,unknown,5676693172,5677334745,641573,Unknown,0,0,0
68,2,unknown,5727691401,5728333000,641599,Unknown,0,0,0
69,2,unknown,5778692613,5779304913,612300,Unknown,0,0,0
70,2,unknown,5829696494,5830292469,595975,Unknown,0,0,0
71,2,unknown,5880693117,5881332344,639227,Unknown,0,0,0
72,2,unknown,5931692728,5932326184,633456,Unknown,0,0,0
73,2,unknown,5982693972,5983389526,695554,Unknown,0,0,0
74,2,unknown,6034692662,6035381582,688920,Unknown,0,0,0
75,2,unknown,6088100582,6096262481,8161899,Unknown,0,0,0
76,2,unknown,6147697711,6150845441,3147730,Unknown,0,0,0
77,2,unknown,6202696630,6203466009,769379,Unknown,0,0,0
78,2,unknown,6254698087,6255320977,622890,Unknown,0,0,0
79,2,unknown,6305694292,6306294791,600499,Unknown,0,0,0
80,2,unknown,6356693764,6357343714,649950,Unknown,0,0,0
81,2,unknown,6407699105,6408304155,605050,Unknown,0,0,0
82,2,unknown,6458694249,6459303789,609540,Unknown,0,0,0
83,2,unknown,6509693148,6510304666,611518,Unknown,0,0,0
84,2,unknown,6560692795,6561289801,597006,Unknown,0,0,0
85,2,unknown,6611693231,6612349008,655777,Unknown,0,0,0
