timestamp_ns,tier,core_utilization_pct,memory_used_bytes,memory_capacity_bytes,packets_processed,packets_queued,packets_dropped
2303774233,H,0,0,4294967296,4,0,0
2404711315,H,0,0,4294967296,8,0,0
2505704429,H,0,0,4294967296,12,0,0
2606712028,H,0,0,4294967296,16,0,0
2707727445,H,0,0,4294967296,20,0,0
2808706162,H,0,0,4294967296,24,0,0
2909707689,H,0,0,4294967296,28,0,0
3012269908,H,0,0,4294967296,32,0,0
3112708246,H,0,0,4294967296,36,0,0
3213715185,H,0,0,4294967296,40,0,0
3314718246,H,0,0,4294967296,44,0,0
3415707939,H,0,0,4294967296,48,0,0
3516730431,H,0,0,4294967296,52,0,0
3617704279,H,0,0,4294967296,56,0,0
3718709272,H,0,0,4294967296,60,0,0
3819704650,H,0,0,4294967296,64,0,0
3920854582,H,0,0,4294967296,68,0,0
4021697159,H,0,0,4294967296,72,0,0
4122714365,H,0,0,4294967296,76,0,0
4223711203,H,0,0,4294967296,79,0,0
4324712551,H,0,0,4294967296,82,0,0
4425715676,H,0,0,4294967296,86,0,0
4526705679,H,0,0,4294967296,89,0,0
4632236293,H,0,0,4294967296,92,0,0
4732713197,H,0,0,4294967296,96,0,0
4833707083,H,0,0,4294967296,100,0,0
4934708747,H,0,0,4294967296,104,0,0
5035711722,H,0,0,4294967296,108,0,0
5136709847,H,0,0,4294967296,112,0,0
5237705018,H,0,0,4294967296,116,0,0
5338710526,H,0,0,4294967296,120,0,0
5439707710,H,0,0,4294967296,124,0,0
5540710113,H,0,0,4294967296,128,0,0
5641713659,H,0,0,4294967296,132,0,0
5742704907,H,0,0,4294967296,136,0,0
5843702096,H,0,0,4294967296,140,0,0
5944706862,H,0,0,4294967296,144,0,0
6045708439,H,0,0,4294967296,148,0,0
6146711714,H,0,0,4294967296,150,0,0
6247700493,H,0,0,4294967296,154,0,0
6348709435,H,0,0,4294967296,158,0,0
6449703292,H,0,0,4294967296,162,0,0
6550707103,H,0,0,4294967296,166,0,0
6651726142,H,0,0,4294967296,170,0,0
6752741947,H,0,0,4294967296,174,0,0
6853711681,H,0,0,4294967296,178,0,0
6954712082,H,0,0,4294967296,182,0,0
7055709670,H,0,0,4294967296,186,0,0
7156707058,H,0,0,4294967296,190,0,0
7257708435,H,0,0,4294967296,194,0,0
7358709683,H,0,0,4294967296,198,0,0
