timestamp_ns,tier,core_utilization_pct,memory_used_bytes,memory_capacity_bytes,packets_processed,packets_queued,packets_dropped
100000000,D,0,0,17179869184,0,0,0
200000000,D,0,0,17179869184,0,0,0
300000000,D,0,0,17179869184,0,0,0
400000000,D,0,0,17179869184,0,0,0
500000000,D,0,0,17179869184,0,0,0
600000000,D,0,0,17179869184,0,0,0
700000000,D,0,0,17179869184,0,0,0
800000000,D,0,0,17179869184,0,0,0
900000000,D,0,0,17179869184,0,0,0
1000000000,D,0,0,17179869184,0,0,0
1100000000,D,0,0,17179869184,0,0,0
1200000000,D,0,0,17179869184,0,0,0
1300000000,D,0,0,17179869184,0,0,0
1400000000,D,0,0,17179869184,0,0,0
1500000000,D,0,0,17179869184,0,0,0
1600000000,D,0,0,17179869184,0,0,0
1700000000,D,0,0,17179869184,0,0,0
1800000000,D,0,0,17179869184,0,0,0
1900000000,D,0,0,17179869184,0,0,0
2000000000,D,0,0,17179869184,0,0,0
2100000000,D,0,0,17179869184,0,0,0
2200000000,D,0,0,17179869184,0,0,0
2300000000,D,0,0,17179869184,0,0,0
2400000000,D,0,0,17179869184,0,0,0
2500000000,D,0,0,17179869184,0,0,0
2600000000,D,0,0,17179869184,0,0,0
2700000000,D,0,0,17179869184,0,0,0
2800000000,D,0,0,17179869184,0,0,0
2900000000,D,0,0,17179869184,0,0,0
3000000000,D,0,0,17179869184,0,0,0
3100000000,D,0,0,17179869184,0,0,0
3200000000,D,0,0,17179869184,0,0,0
3300000000,D,0,0,17179869184,0,0,0
3400000000,D,0,0,17179869184,0,0,0
3500000000,D,0,0,17179869184,0,0,0
3600000000,D,0,0,17179869184,0,0,0
3700000000,D,0,0,17179869184,0,0,0
3800000000,D,0,16,17179869184,4,0,0
3900000000,D,0,16,17179869184,8,0,0
4000000000,D,0,16,17179869184,10,0,0
4100000000,D,0,16,17179869184,10,0,0
