operation_id,primitive_type,placement_config,start_time_ns,end_time_ns,latency_ns,tier_path,num_tier_crossings,was_exception,exception_type
1,2,unknown,2107642361,2108349049,706688,S,1,0,0
2,2,unknown,2159388671,2160020037,631366,S,1,0,0
3,2,unknown,2210412377,2211226563,814186,S,1,0,0
4,2,unknown,2262396822,2263084300,687478,S,1,0,0
5,2,unknown,2314394484,2315189929,795445,S,1,0,0
6,2,unknown,2366392135,2367100046,707911,S,1,0,0
7,2,unknown,2418387408,2419121434,734026,S,1,0,0
8,2,unknown,2470397504,2471071638,674134,S,1,0,0
9,2,unknown,2522396595,2523046136,649541,S,1,0,0
10,2,unknown,2574393029,2575068865,675836,S,1,0,0
11,2,unknown,2626388268,2627004019,615751,S,1,0,0
12,2,unknown,2677387325,2677980984,593659,S,1,0,0
13,2,unknown,2728389249,2729073004,683755,S,1,0,0
14,2,unknown,2780386769,2781016978,630209,S,1,0,0
15,2,unknown,2831392387,2832014999,622612,S,1,0,0
16,2,unknown,2882392238,2883020279,628041,S,1,0,0
17,2,unknown,2933393927,2934094435,700508,S,1,0,0
18,2,unknown,2985391150,2986123334,732184,S,1,0,0
19,2,unknown,3036611394,3037279346,667952,S,1,0,0
20,2,unknown,3088386552,3089025789,639237,S,1,0,0
21,2,unknown,3139388564,3140007829,619265,S,1,0,0
22,2,unknown,3190390357,3191019520,629163,S,1,0,0
23,2,unknown,3241388450,3242047096,658646,S,1,0,0
24,2,unknown,3292388260,3293055736,667476,S,1,0,0
25,2,unknown,3343392444,3344030594,638150,S,1,0,0
26,2,unknown,3394389476,3395016606,627130,S,1,0,0
27,2,unknown,3445392803,3445937665,544862,S,1,0,0
28,2,unknown,3496387513,3496961921,574408,S,1,0,0
29,2,unknown,3547408149,3547940599,532450,S,1,0,0
30,2,unknown,3598409675,3599028061,618386,S,1,0,0
31,2,unknown,3649388391,3649922524,534133,S,1,0,0
32,2,unknown,3700387685,3700988453,600768,S,1,0,0
33,2,unknown,3751387978,3751902418,514440,S,1,0,0
34,2,unknown,3802395916,3803060325,664409,S,1,0,0
35,2,unknown,3854391638,3855029835,638197,S,1,0,0
36,2,unknown,3905387272,3905974257,586985,S,1,0,0
37,2,unknown,3956391574,3957006099,614525,S,1,0,0
38,2,unknown,4007389052,4007975778,586726,S,1,0,0
39,2,unknown,4058390581,4059025274,634693,S,1,0,0
40,2,unknown,4109391833,4110015842,624009,S,1,0,0
41,2,unknown,4160389111,4161040015,650904,S,1,0,0
42,2,unknown,4211389088,4212051178,662090,S,1,0,0
43,2,unknown,4262388489,4262985138,596649,S,1,0,0
44,2,unknown,4313389402,4314007145,617743,S,1,0,0
45,2,unknown,4364388432,4365000136,611704,S,1,0,0
46,2,unknown,4415393433,4416026132,632699,S,1,0,0
47,2,unknown,4466391562,4467090647,699085,S,1,0,0
48,2,unknown,4518387725,4519163563,775838,S,1,0,0
49,2,unknown,4570306135,4570932823,626688,S,1,0,0
50,2,unknown,4621400434,4622017092,616658,S,1,0,0
51,2,unknown,4672395845,4672986491,590646,S,1,0,0
52,2,unknown,4723388249,4723992360,604111,S,1,0,0
53,2,unknown,4774391036,4775003020,611984,S,1,0,0
54,2,unknown,4825388563,4825984012,595449,S,1,0,0
55,2,unknown,4876388141,4877039849,651708,S,1,0,0
56,2,unknown,4927392283,4928006627,614344,S,1,0,0
57,2,unknown,4979388725,4979990000,601275,S,1,0,0
58,2,unknown,5030388461,5030988863,600402,S,1,0,0
59,2,unknown,5081389558,5082104929,715371,S,1,0,0
60,2,unknown,5133389911,5134126465,736554,S,1,0,0
61,2,unknown,5185393103,5186054746,661643,S,1,0,0
62,2,unknown,5236409894,5237032934,623040,S,1,0,0
63,2,unknown,5287397653,5287987758,590105,S,1,0,0
64,2,unknown,5338387970,5339088420,700450,S,1,0,0
65,2,unknown,5390390754,5390975916,585162,S,1,0,0
66,2,unknown,5441385941,5441913941,528000,S,1,0,0
67,2,unknown,5492392175,5493046581,654406,S,1,0,0
68,2,unknown,5543388635,5544066814,678179,S,1,0,0
69,2,unknown,5594406153,5594980863,574710,S,1,0,0
70,2,unknown,5645383188,5645998207,615019,S,1,0,0
71,2,unknown,5698193666,5698893846,700180,S,1,0,0
72,2,unknown,5749385993,5749940296,554303,S,1,0,0
73,2,unknown,5800388934,5801047138,658204,S,1,0,0
74,2,unknown,5851392418,5852087101,694683,S,1,0,0
75,2,unknown,5903396213,5904096112,699899,S,1,0,0
76,2,unknown,5955397291,5956100417,703126,S,1,0,0
77,2,unknown,6007393082,6008058176,665094,S,1,0,0
78,2,unknown,6059388199,6060001476,613277,S,1,0,0
79,2,unknown,6110384852,6110978842,593990,S,1,0,0
80,2,unknown,6161388700,6162001217,612517,S,1,0,0
81,2,unknown,6212387967,6213044933,656966,S,1,0,0
82,2,unknown,6263391437,6264073759,682322,S,1,0,0
83,2,unknown,6315387662,6315981501,593839,S,1,0,0
84,2,unknown,6366391086,6367037309,646223,S,1,0,0
85,2,unknown,6417388963,6417999965,611002,S,1,0,0
86,2,unknown,6468408013,6469135324,727311,S,1,0,0
87,2,unknown,6520393687,6521118313,724626,S,1,0,0
88,2,unknown,6572393931,6573044327,650396,S,1,0,0
89,2,unknown,6623396892,6624001873,604981,S,1,0,0
90,2,unknown,6674389259,6674993450,604191,S,1,0,0
91,2,unknown,6725400508,6726069361,668853,S,1,0,0
92,2,unknown,6777391534,6778011087,619553,S,1,0,0
93,2,unknown,6828389637,6829034317,644680,S,1,0,0
94,2,unknown,6879388045,6880052773,664728,S,1,0,0
95,2,unknown,6931388447,6932058089,669642,S,1,0,0
96,2,unknown,6982388618,6983193918,805300,S,1,0,0
97,2,unknown,7034391075,7035136843,745768,S,1,0,0
98,2,unknown,7086394274,7087019355,625081,S,1,0,0
99,2,unknown,7137418829,7137939477,520648,S,1,0,0
100,2,unknown,7188391368,7188985446,594078,S,1,0,0
