operation_id,primitive_type,placement_config,start_time_ns,end_time_ns,latency_ns,tier_path,num_tier_crossings,was_exception,exception_type
1,2,unknown,2440104112,2440923127,819015,S,1,0,0
2,2,unknown,2491751779,2492489111,737332,S,1,0,0
3,2,unknown,2543790367,2544474742,684375,S,1,0,0
4,2,unknown,2595751041,2596402516,651475,S,1,0,0
5,2,unknown,2646746695,2647263181,516486,S,1,0,0
6,2,unknown,2697752303,2698396672,644369,S,1,0,0
7,2,unknown,2748749871,2749391365,641494,S,1,0,0
8,2,unknown,2800750113,2801363214,613101,S,1,0,0
9,2,unknown,2851749480,2852363778,614298,S,1,0,0
10,2,unknown,2902748985,2903381397,632412,S,1,0,0
11,2,unknown,2953745809,2954374002,628193,S,1,0,0
12,2,unknown,3004755245,3005492029,736784,S,1,0,0
13,2,unknown,3056871575,3057485729,614154,S,1,0,0
14,2,unknown,3108749820,3109374365,624545,S,1,0,0
15,2,unknown,3159746053,3160305948,559895,S,1,0,0
16,2,unknown,3211753641,3212448350,694709,S,1,0,0
17,2,unknown,3262755669,3265802221,3046552,S,1,0,0
18,2,unknown,3317756516,3320461450,2704934,S,1,0,0
19,2,unknown,3371753595,3373656034,1902439,S,1,0,0
20,2,unknown,3424748511,3425366454,617943,S,1,0,0
21,2,unknown,3475750655,3476365486,614831,S,1,0,0
22,2,unknown,3526749388,3527373154,623766,S,1,0,0
23,2,unknown,3577754411,3578387671,633260,S,1,0,0
24,2,unknown,3628753529,3629411854,658325,S,1,0,0
25,2,unknown,3680748545,3681363895,615350,S,1,0,0
26,2,unknown,3731753227,3732382322,629095,S,1,0,0
27,2,unknown,3782750910,3783418141,667231,S,1,0,0
28,2,unknown,3834751162,3835613768,862606,S,1,0,0
29,2,unknown,3890627541,3891346964,719423,S,1,0,0
30,2,unknown,3942792188,3943391184,598996,S,1,0,0
31,2,unknown,3993770750,3994586958,816208,S,1,0,0
32,2,unknown,4045753518,4046449615,696097,S,1,0,0
33,2,unknown,4097756164,4098307496,551332,S,1,0,0
34,2,unknown,4148754083,4149432238,678155,S,1,0,0
35,2,unknown,4200750554,4201379668,629114,S,1,0,0
36,2,unknown,4251749521,4252453337,703816,S,1,0,0
37,2,unknown,4303751123,4304426558,675435,S,1,0,0
38,2,unknown,4355753955,4356399935,645980,S,1,0,0
39,2,unknown,4410670428,4411320706,650278,S,1,0,0
40,2,unknown,4463756472,4464564544,808072,S,1,0,0
41,2,unknown,4515791694,4516434914,643220,S,1,0,0
42,2,unknown,4567753495,4568390661,637166,S,1,0,0
43,2,unknown,4618751224,4619333826,582602,S,1,0,0
44,2,unknown,4669744991,4670354435,609444,S,1,0,0
45,2,unknown,4720749487,4721345989,596502,S,1,0,0
46,2,unknown,4771747044,4772354318,607274,S,1,0,0
47,2,unknown,4822749238,4823334719,585481,S,1,0,0
48,2,unknown,4873745926,4874332083,586157,S,1,0,0
49,2,unknown,4924757940,4925394664,636724,S,1,0,0
50,2,unknown,4975753570,4978878225,3124655,S,1,0,0
51,2,unknown,5030757840,5031382040,624200,S,1,0,0
52,2,unknown,5081747796,5082371234,623438,S,1,0,0
53,2,unknown,5132752770,5133349367,596597,S,1,0,0
54,2,unknown,5183756782,5184412142,655360,S,1,0,0
55,2,unknown,5235757863,5236388567,630704,S,1,0,0
56,2,unknown,5286748077,5287347949,599872,S,1,0,0
57,2,unknown,5337750178,5338373784,623606,S,1,0,0
58,2,unknown,5388752047,5389359420,607373,S,1,0,0
59,2,unknown,5439755125,5440429441,674316,S,1,0,0
60,2,unknown,5491748426,5492351123,602697,S,1,0,0
61,2,unknown,5542755710,5543445765,690055,S,1,0,0
62,2,unknown,5594755873,5595514780,758907,S,1,0,0
63,2,unknown,5646753856,5647283471,529615,S,1,0,0
64,2,unknown,5697749614,5698387435,637821,S,1,0,0
65,2,unknown,5748749828,5749353905,604077,S,1,0,0
66,2,unknown,5799748766,5800372864,624098,S,1,0,0
67,2,unknown,5851751552,5852374459,622907,S,1,0,0
68,2,unknown,5902749994,5903368555,618561,S,1,0,0
69,2,unknown,5953751667,5954406049,654382,S,1,0,0
70,2,unknown,6005748105,6006359654,611549,S,1,0,0
71,2,unknown,6057754226,6058381402,627176,S,1,0,0
72,2,unknown,6108833757,6111299655,2465898,S,1,0,0
73,2,unknown,6162751524,6163433945,682421,S,1,0,0
74,2,unknown,6214749277,6215375651,626374,S,1,0,0
75,2,unknown,6265749030,6266278946,529916,S,1,0,0
76,2,unknown,6316753224,6317465571,712347,S,1,0,0
77,2,unknown,6368752494,6369373810,621316,S,1,0,0
78,2,unknown,6420752884,6421393939,641055,S,1,0,0
79,2,unknown,6471749855,6472357155,607300,S,1,0,0
80,2,unknown,6522829830,6523483742,653912,S,1,0,0
81,2,unknown,6574753141,6575421214,668073,S,1,0,0
