operation_id,primitive_type,placement_config,start_time_ns,end_time_ns,latency_ns,tier_path,num_tier_crossings,was_exception,exception_type
1,2,unknown,710401763,710421447,19684,S->D->D->S,4,0,0
2,2,unknown,710463318,710478001,14683,S->D->D->S,4,0,0
3,2,unknown,710484870,710499558,14688,S->D->D->S,4,0,0
4,2,unknown,710506606,710521283,14677,S->D->D->S,4,0,0
5,2,unknown,710528331,710543461,15130,S->D->D->S,4,0,0
6,2,unknown,710550509,710565185,14676,S->D->D->S,4,0,0
7,2,unknown,710572233,710586909,14676,S->D->D->S,4,0,0
8,2,unknown,710593957,710608634,14677,S->D->D->S,4,0,0
9,2,unknown,710615682,710630360,14678,S->D->D->S,4,0,0
10,2,unknown,710637408,710652537,15129,S->D->D->S,4,0,0
11,2,unknown,710659586,710674264,14678,S->D->D->S,4,0,0
12,2,unknown,710681313,710695989,14676,S->D->D->S,4,0,0
13,2,unknown,710703039,710717715,14676,S->D->D->S,4,0,0
14,2,unknown,710724765,710739441,14676,S->D->D->S,4,0,0
15,2,unknown,710746490,710761620,15130,S->D->D->S,4,0,0
16,2,unknown,710768669,710783641,14972,S->D->D->S,4,0,0
17,2,unknown,710790691,710805367,14676,S->D->D->S,4,0,0
18,2,unknown,710812417,710827093,14676,S->D->D->S,4,0,0
19,2,unknown,710834142,710848819,14677,S->D->D->S,4,0,0
20,2,unknown,710855868,710870996,15128,S->D->D->S,4,0,0
21,2,unknown,710878345,710893022,14677,S->D->D->S,4,0,0
22,2,unknown,710900072,710914748,14676,S->D->D->S,4,0,0
23,2,unknown,710921797,710936474,14677,S->D->D->S,4,0,0
24,2,unknown,710943523,710958200,14677,S->D->D->S,4,0,0
25,2,unknown,710965250,710980378,15128,S->D->D->S,4,0,0
26,2,unknown,710987428,711002104,14676,S->D->D->S,4,0,0
27,2,unknown,711009154,711023830,14676,S->D->D->S,4,0,0
28,2,unknown,711030880,711045557,14677,S->D->D->S,4,0,0
29,2,unknown,711052902,711067579,14677,S->D->D->S,4,0,0
30,2,unknown,711074628,711089758,15130,S->D->D->S,4,0,0
31,2,unknown,711097641,711112317,14676,S->D->D->S,4,0,0
32,2,unknown,711119367,711134816,15449,S->D->D->S,4,0,0
33,2,unknown,711141856,711156531,14675,S->D->D->S,4,0,0
34,2,unknown,711163572,711178246,14674,S->D->D->S,4,0,0
35,2,unknown,711185287,711199961,14674,S->D->D->S,4,0,0
36,2,unknown,711207002,711221676,14674,S->D->D->S,4,0,0
37,2,unknown,711228717,711243391,14674,S->D->D->S,4,0,0
38,2,unknown,711250432,711265558,15126,S->D->D->S,4,0,0
39,2,unknown,711272599,711287273,14674,S->D->D->S,4,0,0
40,2,unknown,711294314,711308988,14674,S->D->D->S,4,0,0
41,2,unknown,711316029,711330703,14674,S->D->D->S,4,0,0
42,2,unknown,711337744,711352418,14674,S->D->D->S,4,0,0
43,2,unknown,711359459,711374585,15126,S->D->D->S,4,0,0
44,2,unknown,711381626,711396300,14674,S->D->D->S,4,0,0
45,2,unknown,711403341,711418015,14674,S->D->D->S,4,0,0
46,2,unknown,711425056,711439730,14674,S->D->D->S,4,0,0
47,2,unknown,711446771,711461445,14674,S->D->D->S,4,0,0
48,2,unknown,711468486,711483908,15422,S->D->D->S,4,0,0
49,2,unknown,711491245,711505919,14674,S->D->D->S,4,0,0
50,2,unknown,711512960,711527634,14674,S->D->D->S,4,0,0
51,2,unknown,711534675,711549349,14674,S->D->D->S,4,0,0
52,2,unknown,711556390,711571064,14674,S->D->D->S,4,0,0
53,2,unknown,711578105,711593236,15131,S->D->D->S,4,0,0
