operation_id,primitive_type,placement_config,start_time_ns,end_time_ns,latency_ns,tier_path,num_tier_crossings,was_exception,exception_type
1,2,unknown,710412528,710434547,22019,S,1,0,0
2,2,unknown,710476329,710487012,10683,S,1,0,0
3,2,unknown,710493801,710504489,10688,S,1,0,0
4,2,unknown,710511456,710522132,10676,S,1,0,0
5,2,unknown,710529099,710540228,11129,S,1,0,0
6,2,unknown,710547195,710557871,10676,S,1,0,0
7,2,unknown,710564838,710575514,10676,S,1,0,0
8,2,unknown,710582481,710593191,10710,S,1,0,0
9,2,unknown,710600158,710610836,10678,S,1,0,0
10,2,unknown,710617803,710628931,11128,S,1,0,0
11,2,unknown,710635910,710646588,10678,S,1,0,0
12,2,unknown,710653567,710664243,10676,S,1,0,0
13,2,unknown,710671222,710681900,10678,S,1,0,0
14,2,unknown,710688879,710699555,10676,S,1,0,0
15,2,unknown,710706534,710717664,11130,S,1,0,0
16,2,unknown,710724643,710735615,10972,S,1,0,0
17,2,unknown,710742594,710753272,10678,S,1,0,0
18,2,unknown,710760251,710770927,10676,S,1,0,0
19,2,unknown,710777906,710788583,10677,S,1,0,0
20,2,unknown,710795562,710806690,11128,S,1,0,0
21,2,unknown,710813969,710824645,10676,S,1,0,0
22,2,unknown,710831624,710842302,10678,S,1,0,0
23,2,unknown,710849281,710859957,10676,S,1,0,0
24,2,unknown,710866937,710877614,10677,S,1,0,0
25,2,unknown,710884593,710895721,11128,S,1,0,0
26,2,unknown,710902700,710913378,10678,S,1,0,0
27,2,unknown,710920357,710931033,10676,S,1,0,0
28,2,unknown,710938013,710948690,10677,S,1,0,0
29,2,unknown,710955965,710966641,10676,S,1,0,0
30,2,unknown,710973621,710984750,11129,S,1,0,0
31,2,unknown,710991729,711002405,10676,S,1,0,0
32,2,unknown,711009385,711020836,11451,S,1,0,0
33,2,unknown,711027846,711038521,10675,S,1,0,0
34,2,unknown,711045491,711056167,10676,S,1,0,0
35,2,unknown,711063137,711074263,11126,S,1,0,0
36,2,unknown,711084633,711095309,10676,S,1,0,0
37,2,unknown,711102288,711112965,10677,S,1,0,0
38,2,unknown,711119945,711130621,10676,S,1,0,0
39,2,unknown,711137601,711148277,10676,S,1,0,0
40,2,unknown,711155256,711165932,10676,S,1,0,0
41,2,unknown,711172912,711183588,10676,S,1,0,0
42,2,unknown,711190567,711201243,10676,S,1,0,0
43,2,unknown,711208222,711219350,11128,S,1,0,0
44,2,unknown,711226329,711237005,10676,S,1,0,0
45,2,unknown,711243985,711254661,10676,S,1,0,0
46,2,unknown,711261640,711272316,10676,S,1,0,0
47,2,unknown,711279295,711289971,10676,S,1,0,0
48,2,unknown,711296950,711308374,11424,S,1,0,0
49,2,unknown,711315650,711326326,10676,S,1,0,0
50,2,unknown,711333305,711343981,10676,S,1,0,0
51,2,unknown,711350960,711361636,10676,S,1,0,0
