operation_id,primitive_type,placement_config,start_time_ns,end_time_ns,latency_ns,tier_path,num_tier_crossings,was_exception,exception_type
1,2,unknown,710409781,710429429,19648,S,1,0,0
2,2,unknown,710471201,710481883,10682,S,1,0,0
3,2,unknown,710488672,710499360,10688,S,1,0,0
4,2,unknown,710506327,710517003,10676,S,1,0,0
5,2,unknown,710523970,710535099,11129,S,1,0,0
6,2,unknown,710542066,710552742,10676,S,1,0,0
7,2,unknown,710559709,710570385,10676,S,1,0,0
8,2,unknown,710577352,710588029,10677,S,1,0,0
9,2,unknown,710594996,710605674,10678,S,1,0,0
10,2,unknown,710612641,710623769,11128,S,1,0,0
11,2,unknown,710630748,710641426,10678,S,1,0,0
12,2,unknown,710648405,710659081,10676,S,1,0,0
13,2,unknown,710666060,710676738,10678,S,1,0,0
14,2,unknown,710683717,710694393,10676,S,1,0,0
15,2,unknown,710701372,710712502,11130,S,1,0,0
16,2,unknown,710719481,710730453,10972,S,1,0,0
17,2,unknown,710737432,710748110,10678,S,1,0,0
18,2,unknown,710755089,710765765,10676,S,1,0,0
19,2,unknown,710772744,710783421,10677,S,1,0,0
20,2,unknown,710790400,710801528,11128,S,1,0,0
21,2,unknown,710808807,710819483,10676,S,1,0,0
22,2,unknown,710826462,710837140,10678,S,1,0,0
23,2,unknown,710844119,710854795,10676,S,1,0,0
24,2,unknown,710861775,710872452,10677,S,1,0,0
25,2,unknown,710879431,710890559,11128,S,1,0,0
26,2,unknown,710897538,710908216,10678,S,1,0,0
27,2,unknown,710915195,710925871,10676,S,1,0,0
28,2,unknown,710932851,710943528,10677,S,1,0,0
29,2,unknown,710950803,710961479,10676,S,1,0,0
30,2,unknown,710968459,710979588,11129,S,1,0,0
31,2,unknown,710986567,710997243,10676,S,1,0,0
32,2,unknown,711004223,711015674,11451,S,1,0,0
33,2,unknown,711022494,711033170,10676,S,1,0,0
34,2,unknown,711040140,711050815,10675,S,1,0,0
35,2,unknown,711057786,711068912,11126,S,1,0,0
36,2,unknown,711075883,711088341,12458,S,1,0,0
37,2,unknown,711096154,711106831,10677,S,1,0,0
38,2,unknown,711113810,711124487,10677,S,1,0,0
39,2,unknown,711131466,711142143,10677,S,1,0,0
40,2,unknown,711149123,711159799,10676,S,1,0,0
41,2,unknown,711166778,711177455,10677,S,1,0,0
42,2,unknown,711184435,711195563,11128,S,1,0,0
43,2,unknown,711202542,711213515,10973,S,1,0,0
44,2,unknown,711220495,711231171,10676,S,1,0,0
45,2,unknown,711238150,711248827,10677,S,1,0,0
46,2,unknown,711255807,711266483,10676,S,1,0,0
47,2,unknown,711273463,711284591,11128,S,1,0,0
