operation_id,primitive_type,placement_config,start_time_ns,end_time_ns,latency_ns,tier_path,num_tier_crossings,was_exception,exception_type
0,1,unknown,2229844537,2230412392,567855,S->D->D->S,4,0,0
1,1,unknown,2281759747,2282223727,463980,S->D->D->S,4,0,0
2,1,unknown,2333751791,2334240626,488835,S->D->D->S,4,0,0
3,1,unknown,2385757582,2386230606,473024,S->D->D->S,4,0,0
4,1,unknown,2437748118,2438232783,484665,S->D->D->S,4,0,0
5,1,unknown,2489759376,2490514978,755602,S->D->D->S,4,0,0
6,1,unknown,2541749731,2543437831,1688100,S->D->D->S,4,0,0
7,1,unknown,2596759934,2598392746,1632812,S->D->D->S,4,0,0
8,1,unknown,2651756752,2653477115,1720363,S->D->D->S,4,0,0
9,1,unknown,2706757784,2708368669,1610885,S->D->D->S,4,0,0
10,1,unknown,2761763719,2763657312,1893593,S->D->D->S,4,0,0
11,1,unknown,2819758777,2820586420,827643,S->D->D->S,4,0,0
12,1,unknown,2871756395,2872599531,843136,S->D->D->S,4,0,0
13,1,unknown,2923757950,2925397357,1639407,S->D->D->S,4,0,0
14,1,unknown,2980896328,2982563187,1666859,S->D->D->S,4,0,0
15,1,unknown,3035747238,3037491266,1744028,S->D->D->S,4,0,0
16,1,unknown,3090770341,3092496986,1726645,S->D->D->S,4,0,0
17,1,unknown,3145754446,3147621747,1867301,S->D->D->S,4,0,0
18,1,unknown,3201842450,3202380306,537856,S->D->D->S,4,0,0
19,1,unknown,3254583535,3255434432,850897,S->D->D->S,4,0,0
20,1,unknown,3306765299,3307358362,593063,S->D->D->S,4,0,0
21,1,unknown,3358817061,3359417722,600661,S->D->D->S,4,0,0
22,1,unknown,3410762551,3411270416,507865,S->D->D->S,4,0,0
23,1,unknown,3462759422,3463428678,669256,S->D->D->S,4,0,0
24,1,unknown,3514759575,3515233355,473780,S->D->D->S,4,0,0
25,1,unknown,3566754209,3567264228,510019,S->D->D->S,4,0,0
26,1,unknown,3618755988,3619221404,465416,S->D->D->S,4,0,0
27,1,unknown,3670753275,3671259264,505989,S->D->D->S,4,0,0
28,1,unknown,3722761265,3723330808,569543,S->D->D->S,4,0,0
29,1,unknown,3774756729,3775299396,542667,S->D->D->S,4,0,0
30,1,unknown,3826763003,3827268932,505929,S->D->D->S,4,0,0
31,1,unknown,3878755871,3879235791,479920,S->D->D->S,4,0,0
32,1,unknown,3930760174,3931225651,465477,S->D->D->S,4,0,0
33,1,unknown,3982792025,3983271299,479274,S->D->D->S,4,0,0
34,1,unknown,4034757729,4035238996,481267,S->D->D->S,4,0,0
35,1,unknown,4086756962,4087245645,488683,S->D->D->S,4,0,0
36,1,unknown,4138755193,4139258252,503059,S->D->D->S,4,0,0
37,1,unknown,4190757078,4191264943,507865,S->D->D->S,4,0,0
38,1,unknown,4242763359,4243262988,499629,S->D->D->S,4,0,0
39,1,unknown,4294763223,4295423993,660770,S->D->D->S,4,0,0
40,1,unknown,4346757561,4347181558,423997,S->D->D->S,4,0,0
41,1,unknown,4398758289,4399240378,482089,S->D->D->S,4,0,0
42,1,unknown,4450807557,4451286302,478745,S->D->D->S,4,0,0
43,1,unknown,4502759997,4503235449,475452,S->D->D->S,4,0,0
44,1,unknown,4554747662,4555243156,495494,S->D->D->S,4,0,0
45,1,unknown,4606757303,4607236003,478700,S->D->D->S,4,0,0
46,1,unknown,4658751419,4659250893,499474,S->D->D->S,4,0,0
47,1,unknown,4710757894,4711265986,508092,S->D->D->S,4,0,0
48,1,unknown,4762781072,4763305776,524704,S->D->D->S,4,0,0
49,1,unknown,4814758890,4815249223,490333,S->D->D->S,4,0,0
50,1,unknown,4866753040,4867246595,493555,S->D->D->S,4,0,0
51,1,unknown,4918756741,4919218706,461965,S->D->D->S,4,0,0
52,1,unknown,4970750344,4971216830,466486,S->D->D->S,4,0,0
53,1,unknown,5022762626,5023265991,503365,S->D->D->S,4,0,0
54,1,unknown,5074829513,5075329407,499894,S->D->D->S,4,0,0
55,1,unknown,5126760904,5127371131,610227,S->D->D->S,4,0,0
56,1,unknown,5178760442,5179385614,625172,S->D->D->S,4,0,0
57,1,unknown,5230761735,5231263758,502023,S->D->D->S,4,0,0
58,1,unknown,5282763774,5283271806,508032,S->D->D->S,4,0,0
59,1,unknown,5334760061,5335379001,618940,S->D->D->S,4,0,0
60,1,unknown,5386757201,5387380698,623497,S->D->D->S,4,0,0
61,1,unknown,5438759402,5439351102,591700,S->D->D->S,4,0,0
62,1,unknown,5490818794,5491399079,580285,S->D->D->S,4,0,0
63,1,unknown,5542760173,5543471115,710942,S->D->D->S,4,0,0
64,1,unknown,5594759185,5595271332,512147,S->D->D->S,4,0,0
65,1,unknown,5647413884,5648014670,600786,S->D->D->S,4,0,0
66,1,unknown,5699757583,5700276198,518615,S->D->D->S,4,0,0
67,1,unknown,5751770890,5752353533,582643,S->D->D->S,4,0,0
68,1,unknown,5803757394,5804585349,827955,S->D->D->S,4,0,0
69,1,unknown,5855761420,5856522741,761321,S->D->D->S,4,0,0
70,1,unknown,5907762188,5908401098,638910,S->D->D->S,4,0,0
71,1,unknown,5959750072,5960326854,576782,S->D->D->S,4,0,0
72,1,unknown,6011765507,6012290123,524616,S->D->D->S,4,0,0
73,1,unknown,6063761115,6064341896,580781,S->D->D->S,4,0,0
74,1,unknown,6115762057,6116291211,529154,S->D->D->S,4,0,0
75,1,unknown,6167810869,6168347370,536501,S->D->D->S,4,0,0
76,1,unknown,6219763504,6220262032,498528,S->D->D->S,4,0,0
77,1,unknown,6271749354,6272227513,478159,S->D->D->S,4,0,0
78,1,unknown,6323756014,6324252740,496726,S->D->D->S,4,0,0
79,1,unknown,6376751811,6377358327,606516,S->D->D->S,4,0,0
80,1,unknown,6428809291,6429332190,522899,S->D->D->S,4,0,0
81,1,unknown,6480754571,6481339590,585019,S->D->D->S,4,0,0
82,1,unknown,6532758006,6533265335,507329,S->D->D->S,4,0,0
83,1,unknown,6584756611,6585420902,664291,S->D->D->S,4,0,0
84,1,unknown,6636760178,6637246643,486465,S->D->D->S,4,0,0
85,1,unknown,6688759718,6689298670,538952,S->D->D->S,4,0,0
86,1,unknown,6740760759,6741438431,677672,S->D->D->S,4,0,0
87,1,unknown,6792352366,6792961874,609508,S->D->D->S,4,0,0
88,1,unknown,6843761339,6844442878,681539,S->D->D->S,4,0,0
89,1,unknown,6895760350,6897768169,2007819,S->D->D->S,4,0,0
90,1,unknown,6950760680,6952690988,1930308,S->D->D->S,4,0,0
91,1,unknown,7005788007,7007653432,1865425,S->D->D->S,4,0,0
92,1,unknown,7061762238,7063836333,2074095,S->D->D->S,4,0,0
93,1,unknown,7117761934,7119822890,2060956,S->D->D->S,4,0,0
94,1,unknown,7173170033,7174992654,1822621,S->D->D->S,4,0,0
95,1,unknown,7228764659,7229343901,579242,S->D->D->S,4,0,0
96,1,unknown,7280754001,7281305585,551584,S->D->D->S,4,0,0
97,1,unknown,7332762119,7333248097,485978,S->D->D->S,4,0,0
98,1,unknown,7384752479,7385232982,480503,S->D->D->S,4,0,0
99,1,unknown,7436769578,7437382170,612592,S->D->D->S,4,0,0
