operation_id,primitive_type,placement_config,start_time_ns,end_time_ns,latency_ns,tier_path,num_tier_crossings,was_exception,exception_type
0,1,unknown,2246620815,2247233432,612617,S->D->D->S,4,0,0
1,1,unknown,2298889814,2299339860,450046,S->D->D->S,4,0,0
2,1,unknown,2350877056,2351342329,465273,S->D->D->S,4,0,0
3,1,unknown,2402892771,2403375918,483147,S->D->D->S,4,0,0
4,1,unknown,2454884377,2455338111,453734,S->D->D->S,4,0,0
5,1,unknown,2506913664,2507375856,462192,S->D->D->S,4,0,0
6,1,unknown,2558885147,2559426183,541036,S->D->D->S,4,0,0
7,1,unknown,2610888459,2611358061,469602,S->D->D->S,4,0,0
8,1,unknown,2662881511,2663343753,462242,S->D->D->S,4,0,0
9,1,unknown,2714889271,2715361340,472069,S->D->D->S,4,0,0
10,1,unknown,2766884683,2767353805,469122,S->D->D->S,4,0,0
11,1,unknown,2818888418,2819362078,473660,S->D->D->S,4,0,0
12,1,unknown,2870885335,2871451101,565766,S->D->D->S,4,0,0
13,1,unknown,2922893738,2923407955,514217,S->D->D->S,4,0,0
14,1,unknown,2974892205,2975540912,648707,S->D->D->S,4,0,0
15,1,unknown,3026891810,3027502471,610661,S->D->D->S,4,0,0
16,1,unknown,3078892864,3079387207,494343,S->D->D->S,4,0,0
17,1,unknown,3130887732,3131367072,479340,S->D->D->S,4,0,0
18,1,unknown,3182898229,3183391673,493444,S->D->D->S,4,0,0
19,1,unknown,3234886730,3235376876,490146,S->D->D->S,4,0,0
20,1,unknown,3286882107,3287344989,462882,S->D->D->S,4,0,0
21,1,unknown,3338910222,3339442702,532480,S->D->D->S,4,0,0
22,1,unknown,3390891446,3391889612,998166,S->D->D->S,4,0,0
23,1,unknown,3443894638,3444560857,666219,S->D->D->S,4,0,0
24,1,unknown,3495891193,3496358837,467644,S->D->D->S,4,0,0
25,1,unknown,3547889597,3548382269,492672,S->D->D->S,4,0,0
26,1,unknown,3599891077,3600458387,567310,S->D->D->S,4,0,0
27,1,unknown,3651892604,3652372191,479587,S->D->D->S,4,0,0
28,1,unknown,3703897467,3704402166,504699,S->D->D->S,4,0,0
29,1,unknown,3755891889,3756395381,503492,S->D->D->S,4,0,0
30,1,unknown,3807723085,3808238404,515319,S->D->D->S,4,0,0
31,1,unknown,3859905209,3860422175,516966,S->D->D->S,4,0,0
32,1,unknown,3911889712,3912435163,545451,S->D->D->S,4,0,0
33,1,unknown,3963938602,3964438593,499991,S->D->D->S,4,0,0
34,1,unknown,4015892143,4016487658,595515,S->D->D->S,4,0,0
35,1,unknown,4067890838,4068383337,492499,S->D->D->S,4,0,0
36,1,unknown,4119892993,4120373415,480422,S->D->D->S,4,0,0
37,1,unknown,4171885553,4172422496,536943,S->D->D->S,4,0,0
38,1,unknown,4223878212,4224467050,588838,S->D->D->S,4,0,0
39,1,unknown,4275886502,4276395309,508807,S->D->D->S,4,0,0
40,1,unknown,4327890504,4328503858,613354,S->D->D->S,4,0,0
41,1,unknown,4381201776,4381928768,726992,S->D->D->S,4,0,0
42,1,unknown,4432963734,4433576984,613250,S->D->D->S,4,0,0
43,1,unknown,4484885282,4485375595,490313,S->D->D->S,4,0,0
44,1,unknown,4536892040,4537546213,654173,S->D->D->S,4,0,0
45,1,unknown,4589232121,4589963857,731736,S->D->D->S,4,0,0
46,1,unknown,4640891009,4641416762,525753,S->D->D->S,4,0,0
47,1,unknown,4692888890,4693380828,491938,S->D->D->S,4,0,0
48,1,unknown,4744888940,4745391044,502104,S->D->D->S,4,0,0
49,1,unknown,4796884114,4797377324,493210,S->D->D->S,4,0,0
50,1,unknown,4848888043,4849376868,488825,S->D->D->S,4,0,0
51,1,unknown,4900892290,4901412088,519798,S->D->D->S,4,0,0
52,1,unknown,4952905748,4953459826,554078,S->D->D->S,4,0,0
53,1,unknown,5004888596,5005408567,519971,S->D->D->S,4,0,0
54,1,unknown,5056891447,5057506808,615361,S->D->D->S,4,0,0
55,1,unknown,5108891348,5109500855,609507,S->D->D->S,4,0,0
56,1,unknown,5160889317,5161514013,624696,S->D->D->S,4,0,0
57,1,unknown,5212888905,5213536075,647170,S->D->D->S,4,0,0
58,1,unknown,5264886780,5265553166,666386,S->D->D->S,4,0,0
59,1,unknown,5316914611,5317405890,491279,S->D->D->S,4,0,0
60,1,unknown,5368968477,5369448577,480100,S->D->D->S,4,0,0
61,1,unknown,5420893651,5421476027,582376,S->D->D->S,4,0,0
62,1,unknown,5474892341,5475386515,494174,S->D->D->S,4,0,0
63,1,unknown,5526890909,5527519467,628558,S->D->D->S,4,0,0
64,1,unknown,5578888154,5579398522,510368,S->D->D->S,4,0,0
65,1,unknown,5630889298,5631417428,528130,S->D->D->S,4,0,0
66,1,unknown,5682882817,5683346860,464043,S->D->D->S,4,0,0
67,1,unknown,5734888879,5735363475,474596,S->D->D->S,4,0,0
68,1,unknown,5786877392,5787345274,467882,S->D->D->S,4,0,0
69,1,unknown,5838892852,5839623867,731015,S->D->D->S,4,0,0
70,1,unknown,5890888112,5891383795,495683,S->D->D->S,4,0,0
71,1,unknown,5942889826,5943385356,495530,S->D->D->S,4,0,0
72,1,unknown,5994890991,5995489672,598681,S->D->D->S,4,0,0
73,1,unknown,6048687002,6050170000,1482998,S->D->D->S,4,0,0
74,1,unknown,6104903028,6105403755,500727,S->D->D->S,4,0,0
75,1,unknown,6156890845,6157383658,492813,S->D->D->S,4,0,0
76,1,unknown,6208890290,6209433306,543016,S->D->D->S,4,0,0
77,1,unknown,6260889272,6261374117,484845,S->D->D->S,4,0,0
78,1,unknown,6312894348,6313387996,493648,S->D->D->S,4,0,0
79,1,unknown,6364890872,6365447169,556297,S->D->D->S,4,0,0
80,1,unknown,6416895057,6417390516,495459,S->D->D->S,4,0,0
81,1,unknown,6468887011,6469360011,473000,S->D->D->S,4,0,0
82,1,unknown,6520897781,6521517278,619497,S->D->D->S,4,0,0
83,1,unknown,6572888281,6573464802,576521,S->D->D->S,4,0,0
84,1,unknown,6624890633,6625616727,726094,S->D->D->S,4,0,0
85,1,unknown,6676888909,6677477461,588552,S->D->D->S,4,0,0
86,1,unknown,6728894276,6729374511,480235,S->D->D->S,4,0,0
87,1,unknown,6780918982,6781403642,484660,S->D->D->S,4,0,0
88,1,unknown,6832888789,6833408375,519586,S->D->D->S,4,0,0
89,1,unknown,6884887423,6885392284,504861,S->D->D->S,4,0,0
90,1,unknown,6936887232,6937435218,547986,S->D->D->S,4,0,0
91,1,unknown,6988304578,6989098215,793637,S->D->D->S,4,0,0
92,1,unknown,7040889999,7041493241,603242,S->D->D->S,4,0,0
93,1,unknown,7092884604,7093360999,476395,S->D->D->S,4,0,0
94,1,unknown,7144887310,7145371274,483964,S->D->D->S,4,0,0
95,1,unknown,7196882482,7197372119,489637,S->D->D->S,4,0,0
96,1,unknown,7248884573,7249358495,473922,S->D->D->S,4,0,0
97,1,unknown,7300878000,7301341412,463412,S->D->D->S,4,0,0
98,1,unknown,7352891673,7353573334,681661,S->D->D->S,4,0,0
99,1,unknown,7405895493,7406444194,548701,S->D->D->S,4,0,0
