timestamp_ns,tier,core_utilization_pct,memory_used_bytes,memory_capacity_bytes,packets_processed,packets_queued,packets_dropped
2347922791,H,0,0,4294967296,4,0,0
2448885749,H,0,0,4294967296,8,0,0
2549882280,H,0,0,4294967296,12,0,0
2650879724,H,0,0,4294967296,16,0,0
2751884945,H,0,0,4294967296,20,0,0
2852890002,H,0,0,4294967296,24,0,0
2953883271,H,0,0,4294967296,28,0,0
3054884720,H,0,0,4294967296,32,0,0
3155882813,H,0,0,4294967296,36,0,0
3256884674,H,0,0,4294967296,40,0,0
3357884019,H,0,0,4294967296,44,0,0
3459267356,H,0,0,4294967296,48,0,0
3559881668,H,0,0,4294967296,52,0,0
3660883630,H,0,0,4294967296,56,0,0
3761876526,H,0,0,4294967296,60,0,0
3862872578,H,0,0,4294967296,64,0,0
3963884717,H,0,0,4294967296,66,0,0
4064885218,H,0,0,4294967296,70,0,0
4165881624,H,0,0,4294967296,74,0,0
4266880915,H,0,0,4294967296,78,0,0
4367884427,H,0,0,4294967296,82,0,0
4468881939,H,0,0,4294967296,86,0,0
4569884721,H,0,0,4294967296,90,0,0
4670879507,H,0,0,4294967296,94,0,0
4772031543,H,0,0,4294967296,98,0,0
4872885228,H,0,0,4294967296,102,0,0
4973885185,H,0,0,4294967296,106,0,0
5074884246,H,0,0,4294967296,110,0,0
5175879217,H,0,0,4294967296,114,0,0
5276877246,H,0,0,4294967296,118,0,0
5377884758,H,0,0,4294967296,122,0,0
5478868418,H,0,0,4294967296,126,0,0
5580075748,H,0,0,4294967296,130,0,0
5680884532,H,0,0,4294967296,132,0,0
5781884214,H,0,0,4294967296,136,0,0
5882882523,H,0,0,4294967296,140,0,0
5983889746,H,0,0,4294967296,144,0,0
6084899870,H,0,0,4294967296,148,0,0
6185878769,H,0,0,4294967296,152,0,0
6286883587,H,0,0,4294967296,156,0,0
6387894945,H,0,0,4294967296,160,0,0
6488882399,H,0,0,4294967296,164,0,0
6589883756,H,0,0,4294967296,168,0,0
6690877856,H,0,0,4294967296,172,0,0
6791878709,H,0,0,4294967296,176,0,0
6892885180,H,0,0,4294967296,180,0,0
6993880174,H,0,0,4294967296,184,0,0
7094025475,H,0,0,4294967296,188,0,0
7194881829,H,0,0,4294967296,190,0,0
7295883217,H,0,0,4294967296,194,0,0
7396885446,H,0,0,4294967296,198,0,0
