operation_id,primitive_type,placement_config,start_time_ns,end_time_ns,latency_ns,tier_path,num_tier_crossings,was_exception,exception_type
1,1,unknown,3090049076,3090536747,487671,Unknown,0,0,0
2,1,unknown,3142048472,3142575003,526531,Unknown,0,0,0
3,1,unknown,3194062027,3194557741,495714,Unknown,0,0,0
4,1,unknown,3246115181,3246587754,472573,Unknown,0,0,0
5,1,unknown,3298048499,3298520302,471803,Unknown,0,0,0
6,1,unknown,3350048624,3350506240,457616,Unknown,0,0,0
7,1,unknown,3402047954,3402531255,483301,Unknown,0,0,0
8,1,unknown,3454048382,3454548646,500264,Unknown,0,0,0
9,1,unknown,3506049893,3506523018,473125,Unknown,0,0,0
10,1,unknown,3558057927,3558572263,514336,Unknown,0,0,0
11,1,unknown,3610062764,3610544300,481536,Unknown,0,0,0
12,1,unknown,3662056358,3662531428,475070,Unknown,0,0,0
13,1,unknown,3714078693,3714503296,424603,Unknown,0,0,0
14,1,unknown,3766048238,3766554341,506103,Unknown,0,0,0
15,1,unknown,3818047738,3818544453,496715,Unknown,0,0,0
16,1,unknown,3870061503,3870541307,479804,Unknown,0,0,0
17,1,unknown,3923047761,3923527417,479656,Unknown,0,0,0
18,1,unknown,3975063799,3975589144,525345,Unknown,0,0,0
19,1,unknown,4027068448,4027498755,430307,Unknown,0,0,0
20,1,unknown,4079045966,4079576699,530733,Unknown,0,0,0
21,1,unknown,4131042136,4131574599,532463,Unknown,0,0,0
22,1,unknown,4183047362,4183529858,482496,Unknown,0,0,0
23,1,unknown,4235040442,4235554279,513837,Unknown,0,0,0
24,1,unknown,4287048966,4287584043,535077,Unknown,0,0,0
25,1,unknown,4339040390,4339542464,502074,Unknown,0,0,0
26,1,unknown,4391049011,4391475671,426660,Unknown,0,0,0
27,1,unknown,4443045539,4443598709,553170,Unknown,0,0,0
28,1,unknown,4495055594,4495566807,511213,Unknown,0,0,0
29,1,unknown,4547051796,4547575256,523460,Unknown,0,0,0
30,1,unknown,4599063489,4599543269,479780,Unknown,0,0,0
31,1,unknown,4651037846,4651537411,499565,Unknown,0,0,0
32,1,unknown,4703034187,4703496259,462072,Unknown,0,0,0
33,1,unknown,4755037331,4755503090,465759,Unknown,0,0,0
34,1,unknown,4807050677,4807557836,507159,Unknown,0,0,0
35,1,unknown,4859048138,4859523573,475435,Unknown,0,0,0
36,1,unknown,4911067477,4911568230,500753,Unknown,0,0,0
37,1,unknown,4963046134,4963516520,470386,Unknown,0,0,0
38,1,unknown,5015046669,5015533593,486924,Unknown,0,0,0
39,1,unknown,5067047812,5067636781,588969,Unknown,0,0,0
40,1,unknown,5119050570,5119540006,489436,Unknown,0,0,0
41,1,unknown,5171050298,5171555141,504843,Unknown,0,0,0
42,1,unknown,5223049389,5223539721,490332,Unknown,0,0,0
43,1,unknown,5275053802,5275519970,466168,Unknown,0,0,0
44,1,unknown,5327117607,5327573311,455704,Unknown,0,0,0
45,1,unknown,5379047655,5379546696,499041,Unknown,0,0,0
46,1,unknown,5431055618,5431486048,430430,Unknown,0,0,0
47,1,unknown,5483079314,5483560351,481037,Unknown,0,0,0
48,1,unknown,5535046050,5535529174,483124,Unknown,0,0,0
49,1,unknown,5587045915,5587546590,500675,Unknown,0,0,0
50,1,unknown,5639050198,5639537783,487585,Unknown,0,0,0
51,1,unknown,5691056872,5691528090,471218,Unknown,0,0,0
52,1,unknown,5743042139,5743593787,551648,Unknown,0,0,0
53,1,unknown,5795054082,5795564119,510037,Unknown,0,0,0
54,1,unknown,5847054105,5847533335,479230,Unknown,0,0,0
