operation_id,primitive_type,placement_config,start_time_ns,end_time_ns,latency_ns,tier_path,num_tier_crossings,was_exception,exception_type
0,1,unknown,2536046797,2536616525,569728,S,1,0,0
1,1,unknown,2587952233,2588456789,504556,S,1,0,0
2,1,unknown,2639955990,2640384789,428799,S,1,0,0
3,1,unknown,2691951475,2692382439,430964,S,1,0,0
4,1,unknown,2743941884,2744474850,532966,S,1,0,0
5,1,unknown,2795949846,2796378871,429025,S,1,0,0
6,1,unknown,2847946520,2848384940,438420,S,1,0,0
7,1,unknown,2899949205,2900394233,445028,S,1,0,0
8,1,unknown,2951954969,2952389132,434163,S,1,0,0
9,1,unknown,3003951263,3004432924,481661,S,1,0,0
10,1,unknown,3055945515,3056416774,471259,S,1,0,0
11,1,unknown,3107949749,3108420504,470755,S,1,0,0
12,1,unknown,3159944271,3160400651,456380,S,1,0,0
13,1,unknown,3211949570,3212448384,498814,S,1,0,0
14,1,unknown,3263946250,3264402395,456145,S,1,0,0
15,1,unknown,3315950960,3316393690,442730,S,1,0,0
16,1,unknown,3367947260,3368388438,441178,S,1,0,0
17,1,unknown,3419946521,3420415377,468856,S,1,0,0
18,1,unknown,3471943456,3472407315,463859,S,1,0,0
19,1,unknown,3523948401,3524403491,455090,S,1,0,0
20,1,unknown,3575968264,3576462904,494640,S,1,0,0
21,1,unknown,3627950036,3628419963,469927,S,1,0,0
22,1,unknown,3679947811,3680425198,477387,S,1,0,0
23,1,unknown,3731980355,3732528972,548617,S,1,0,0
24,1,unknown,3783947493,3784420092,472599,S,1,0,0
25,1,unknown,3835950876,3836407893,457017,S,1,0,0
26,1,unknown,3887950853,3888460265,509412,S,1,0,0
27,1,unknown,3939951485,3940413409,461924,S,1,0,0
28,1,unknown,3991958817,3992396799,437982,S,1,0,0
29,1,unknown,4043954295,4044409573,455278,S,1,0,0
30,1,unknown,4095949189,4096395669,446480,S,1,0,0
31,1,unknown,4147952559,4148417976,465417,S,1,0,0
32,1,unknown,4199971138,4200443801,472663,S,1,0,0
33,1,unknown,4251957974,4252428513,470539,S,1,0,0
34,1,unknown,4303951511,4304424247,472736,S,1,0,0
35,1,unknown,4355944760,4356397679,452919,S,1,0,0
36,1,unknown,4407951216,4408405832,454616,S,1,0,0
37,1,unknown,4459938368,4460407704,469336,S,1,0,0
38,1,unknown,4511968162,4512426285,458123,S,1,0,0
39,1,unknown,4563942171,4564410905,468734,S,1,0,0
40,1,unknown,4616055685,4616617743,562058,S,1,0,0
41,1,unknown,4667941437,4668423325,481888,S,1,0,0
42,1,unknown,4719953066,4720413690,460624,S,1,0,0
43,1,unknown,4771943567,4772420888,477321,S,1,0,0
44,1,unknown,4823965454,4824429057,463603,S,1,0,0
45,1,unknown,4875944320,4876394206,449886,S,1,0,0
46,1,unknown,4927950381,4928409942,459561,S,1,0,0
47,1,unknown,4979946636,4980409591,462955,S,1,0,0
48,1,unknown,5031956741,5032413559,456818,S,1,0,0
49,1,unknown,5083976105,5084430179,454074,S,1,0,0
50,1,unknown,5138779700,5139297875,518175,S,1,0,0
51,1,unknown,5190956819,5191615366,658547,S,1,0,0
52,1,unknown,5242955652,5243474327,518675,S,1,0,0
53,1,unknown,5294958371,5295666566,708195,S,1,0,0
54,1,unknown,5346954606,5347529106,574500,S,1,0,0
55,1,unknown,5398955764,5399536119,580355,S,1,0,0
56,1,unknown,5450961909,5451572026,610117,S,1,0,0
57,1,unknown,5502952737,5503409492,456755,S,1,0,0
58,1,unknown,5554952364,5555421607,469243,S,1,0,0
59,1,unknown,5606953984,5607488448,534464,S,1,0,0
60,1,unknown,5658954422,5659467613,513191,S,1,0,0
61,1,unknown,5710952710,5711501239,548529,S,1,0,0
62,1,unknown,5762952621,5763512341,559720,S,1,0,0
63,1,unknown,5814953078,5815468580,515502,S,1,0,0
64,1,unknown,5866953314,5867465465,512151,S,1,0,0
65,1,unknown,5918952193,5919464122,511929,S,1,0,0
66,1,unknown,5970946652,5971438369,491717,S,1,0,0
67,1,unknown,6022953132,6023502037,548905,S,1,0,0
68,1,unknown,6074936927,6075435214,498287,S,1,0,0
69,1,unknown,6126948737,6127446315,497578,S,1,0,0
70,1,unknown,6178946885,6179905658,958773,S,1,0,0
71,1,unknown,6233954726,6234434921,480195,S,1,0,0
72,1,unknown,6285943188,6286425289,482101,S,1,0,0
73,1,unknown,6337949520,6338430820,481300,S,1,0,0
74,1,unknown,6389947288,6390449741,502453,S,1,0,0
75,1,unknown,6441948792,6442422351,473559,S,1,0,0
76,1,unknown,6493950720,6494465829,515109,S,1,0,0
77,1,unknown,6545949523,6546441495,491972,S,1,0,0
78,1,unknown,6598131884,6598770293,638409,S,1,0,0
79,1,unknown,6649953911,6650459400,505489,S,1,0,0
80,1,unknown,6702049474,6702626435,576961,S,1,0,0
81,1,unknown,6753959279,6754606502,647223,S,1,0,0
82,1,unknown,6806018184,6806601898,583714,S,1,0,0
83,1,unknown,6857954801,6859858168,1903367,S,1,0,0
84,1,unknown,6912961426,6914795755,1834329,S,1,0,0
85,1,unknown,6969346961,6969960549,613588,S,1,0,0
86,1,unknown,7020986276,7021454947,468671,S,1,0,0
87,1,unknown,7072949661,7073430883,481222,S,1,0,0
88,1,unknown,7124978639,7125537632,558993,S,1,0,0
89,1,unknown,7176952738,7177661300,708562,S,1,0,0
90,1,unknown,7228952072,7229704298,752226,S,1,0,0
91,1,unknown,7280952231,7281848595,896364,S,1,0,0
92,1,unknown,7332952477,7333700142,747665,S,1,0,0
93,1,unknown,7384946190,7385735420,789230,S,1,0,0
94,1,unknown,7436951639,7437703514,751875,S,1,0,0
95,1,unknown,7488948515,7489455869,507354,S,1,0,0
96,1,unknown,7540953067,7541683135,730068,S,1,0,0
97,1,unknown,7592949023,7593595589,646566,S,1,0,0
98,1,unknown,7644955237,7645700958,745721,S,1,0,0
99,1,unknown,7696949948,7697465411,515463,S,1,0,0
