timestamp_ns,tier,core_utilization_pct,memory_used_bytes,memory_capacity_bytes,packets_processed,packets_queued,packets_dropped
2636993225,H,0,0,4294967296,4,0,0
2737945538,H,0,0,4294967296,8,0,0
2838942801,H,0,0,4294967296,12,0,0
2939944353,H,0,0,4294967296,16,0,0
3040941310,H,0,0,4294967296,20,0,0
3141946620,H,0,0,4294967296,24,0,0
3242942987,H,0,0,4294967296,28,0,0
3343961678,H,0,0,4294967296,32,0,0
3444930242,H,0,0,4294967296,36,0,0
3545948917,H,0,0,4294967296,40,0,0
3646945286,H,0,0,4294967296,44,0,0
3747935258,H,0,0,4294967296,48,0,0
3848936903,H,0,0,4294967296,52,0,0
3949934700,H,0,0,4294967296,56,0,0
4050935346,H,0,0,4294967296,60,0,0
4151932698,H,0,0,4294967296,64,0,0
4253167312,H,0,0,4294967296,68,0,0
4353944783,H,0,0,4294967296,70,0,0
4454943151,H,0,0,4294967296,74,0,0
4555943016,H,0,0,4294967296,78,0,0
4656947040,H,0,0,4294967296,82,0,0
4757943134,H,0,0,4294967296,86,0,0
4858942228,H,0,0,4294967296,90,0,0
4959943667,H,0,0,4294967296,94,0,0
5060944024,H,0,0,4294967296,98,0,0
5161947171,H,0,0,4294967296,102,0,0
5262956851,H,0,0,4294967296,106,0,0
5363952060,H,0,0,4294967296,110,0,0
5464944762,H,0,0,4294967296,114,0,0
5565941305,H,0,0,4294967296,118,0,0
5666940399,H,0,0,4294967296,122,0,0
5767933209,H,0,0,4294967296,126,0,0
5868175144,H,0,0,4294967296,130,0,0
5968948575,H,0,0,4294967296,132,0,0
6069941955,H,0,0,4294967296,136,0,0
6170945498,H,0,0,4294967296,140,0,0
6271945669,H,0,0,4294967296,144,0,0
6372953081,H,0,0,4294967296,148,0,0
6473946048,H,0,0,4294967296,152,0,0
6574947537,H,0,0,4294967296,156,0,0
6675943366,H,0,0,4294967296,160,0,0
6776944254,H,0,0,4294967296,164,0,0
6877953348,H,0,0,4294967296,168,0,0
6978946234,H,0,0,4294967296,172,0,0
7079935861,H,0,0,4294967296,176,0,0
7180934267,H,0,0,4294967296,180,0,0
7282793812,H,0,0,4294967296,184,0,0
7382946643,H,0,0,4294967296,186,0,0
7483945563,H,0,0,4294967296,190,0,0
7584948023,H,0,0,4294967296,194,0,0
7685693131,H,0,0,4294967296,198,0,0
