operation_id,primitive_type,placement_config,start_time_ns,end_time_ns,latency_ns,tier_path,num_tier_crossings,was_exception,exception_type
0,1,unknown,2149732172,2150348359,616187,S,1,0,0
1,1,unknown,2201428420,2201874600,446180,S,1,0,0
2,1,unknown,2253413464,2253877580,464116,S,1,0,0
3,1,unknown,2305420563,2305890526,469963,S,1,0,0
4,1,unknown,2357447000,2357906418,459418,S,1,0,0
5,1,unknown,2409420350,2409866282,445932,S,1,0,0
6,1,unknown,2461411114,2461787363,376249,S,1,0,0
7,1,unknown,2512424062,2512891749,467687,S,1,0,0
8,1,unknown,2564412799,2564871753,458954,S,1,0,0
9,1,unknown,2616422675,2616963888,541213,S,1,0,0
10,1,unknown,2668417776,2668877199,459423,S,1,0,0
11,1,unknown,2720419559,2720917736,498177,S,1,0,0
12,1,unknown,2772416539,2772897804,481265,S,1,0,0
13,1,unknown,2824418812,2824869072,450260,S,1,0,0
14,1,unknown,2876430873,2876889319,458446,S,1,0,0
15,1,unknown,2928418837,2928909524,490687,S,1,0,0
16,1,unknown,2980432945,2980860271,427326,S,1,0,0
17,1,unknown,3032441119,3032898126,457007,S,1,0,0
18,1,unknown,3084444788,3084859822,415034,S,1,0,0
19,1,unknown,3136420692,3136897171,476479,S,1,0,0
20,1,unknown,3188417533,3188888814,471281,S,1,0,0
21,1,unknown,3240419824,3240908997,489173,S,1,0,0
22,1,unknown,3292429320,3292925159,495839,S,1,0,0
23,1,unknown,3344418883,3344889789,470906,S,1,0,0
24,1,unknown,3396423078,3396973732,550654,S,1,0,0
25,1,unknown,3448421489,3448990723,569234,S,1,0,0
26,1,unknown,3500418449,3500933469,515020,S,1,0,0
27,1,unknown,3552420476,3552893329,472853,S,1,0,0
28,1,unknown,3604419039,3604934965,515926,S,1,0,0
29,1,unknown,3656437228,3656952239,515011,S,1,0,0
30,1,unknown,3708418681,3708901873,483192,S,1,0,0
31,1,unknown,3760422870,3761005903,583033,S,1,0,0
32,1,unknown,3812435900,3812818263,382363,S,1,0,0
33,1,unknown,3863418742,3863894437,475695,S,1,0,0
34,1,unknown,3915423587,3915894602,471015,S,1,0,0
35,1,unknown,3967418191,3967878457,460266,S,1,0,0
36,1,unknown,4019438285,4019914065,475780,S,1,0,0
37,1,unknown,4071412880,4071895753,482873,S,1,0,0
38,1,unknown,4123420383,4123884267,463884,S,1,0,0
39,1,unknown,4175407231,4175831060,423829,S,1,0,0
40,1,unknown,4227419531,4227850194,430663,S,1,0,0
41,1,unknown,4279410599,4279882548,471949,S,1,0,0
42,1,unknown,4331419691,4331857828,438137,S,1,0,0
43,1,unknown,4383406886,4383865636,458750,S,1,0,0
44,1,unknown,4435403578,4435839969,436391,S,1,0,0
45,1,unknown,4487415698,4487885774,470076,S,1,0,0
46,1,unknown,4539421401,4539931433,510032,S,1,0,0
47,1,unknown,4591428321,4591858252,429931,S,1,0,0
48,1,unknown,4643415889,4643885951,470062,S,1,0,0
49,1,unknown,4695453399,4695924953,471554,S,1,0,0
50,1,unknown,4747490405,4748150960,660555,S,1,0,0
51,1,unknown,4799429905,4799969211,539306,S,1,0,0
52,1,unknown,4852439291,4853125504,686213,S,1,0,0
53,1,unknown,4904429665,4905019324,589659,S,1,0,0
54,1,unknown,4956430224,4956956044,525820,S,1,0,0
55,1,unknown,5008430394,5011351001,2920607,S,1,0,0
56,1,unknown,5062428552,5063265832,837280,S,1,0,0
57,1,unknown,5120319142,5121835652,1516510,S,1,0,0
58,1,unknown,5173431436,5174036732,605296,S,1,0,0
59,1,unknown,5225423359,5225929089,505730,S,1,0,0
60,1,unknown,5277425858,5277917071,491213,S,1,0,0
61,1,unknown,5329419175,5329908194,489019,S,1,0,0
62,1,unknown,5381425640,5381920893,495253,S,1,0,0
63,1,unknown,5433427513,5434086606,659093,S,1,0,0
64,1,unknown,5486482744,5487017630,534886,S,1,0,0
