operation_id,primitive_type,placement_config,start_time_ns,end_time_ns,latency_ns,tier_path,num_tier_crossings,was_exception,exception_type
0,1,unknown,2055093792,2055673801,580009,S,1,0,0
1,1,unknown,2106769571,2107295151,525580,S,1,0,0
2,1,unknown,2158744814,2159189910,445096,S,1,0,0
3,1,unknown,2209787466,2210206072,418606,S,1,0,0
4,1,unknown,2261747366,2262211885,464519,S,1,0,0
5,1,unknown,2313752816,2314206754,453938,S,1,0,0
6,1,unknown,2365743075,2366190621,447546,S,1,0,0
7,1,unknown,2417754433,2418208211,453778,S,1,0,0
8,1,unknown,2469744887,2470187852,442965,S,1,0,0
9,1,unknown,2521754677,2522183558,428881,S,1,0,0
10,1,unknown,2573750699,2574231224,480525,S,1,0,0
11,1,unknown,2625754756,2626253692,498936,S,1,0,0
12,1,unknown,2677794036,2678269959,475923,S,1,0,0
13,1,unknown,2729753804,2730221064,467260,S,1,0,0
14,1,unknown,2781752761,2782215761,463000,S,1,0,0
15,1,unknown,2833766983,2834247026,480043,S,1,0,0
16,1,unknown,2885622953,2886120677,497724,S,1,0,0
17,1,unknown,2936845455,2937680192,834737,S,1,0,0
18,1,unknown,2988761169,2989244784,483615,S,1,0,0
19,1,unknown,3040767327,3041241287,473960,S,1,0,0
20,1,unknown,3092766307,3093292156,525849,S,1,0,0
21,1,unknown,3144756612,3145254501,497889,S,1,0,0
22,1,unknown,3196755114,3197201829,446715,S,1,0,0
23,1,unknown,3248759520,3249236126,476606,S,1,0,0
24,1,unknown,3300755507,3301204804,449297,S,1,0,0
25,1,unknown,3352752686,3353127720,375034,S,1,0,0
26,1,unknown,3403749689,3404159257,409568,S,1,0,0
27,1,unknown,3454750566,3455206690,456124,S,1,0,0
28,1,unknown,3506757458,3507248787,491329,S,1,0,0
29,1,unknown,3558753739,3559223921,470182,S,1,0,0
30,1,unknown,3610755082,3611211140,456058,S,1,0,0
31,1,unknown,3662754509,3663216539,462030,S,1,0,0
32,1,unknown,3714756924,3715206419,449495,S,1,0,0
33,1,unknown,3766768997,3767229840,460843,S,1,0,0
34,1,unknown,3818759991,3819209042,449051,S,1,0,0
35,1,unknown,3870872627,3871313106,440479,S,1,0,0
36,1,unknown,3922766080,3923230846,464766,S,1,0,0
37,1,unknown,3974807421,3975265936,458515,S,1,0,0
38,1,unknown,4026756708,4027213943,457235,S,1,0,0
39,1,unknown,4078745905,4079198120,452215,S,1,0,0
40,1,unknown,4130792210,4131247058,454848,S,1,0,0
41,1,unknown,4182752315,4183199597,447282,S,1,0,0
42,1,unknown,4234754849,4235221106,466257,S,1,0,0
43,1,unknown,4286752066,4287262356,510290,S,1,0,0
44,1,unknown,4338754840,4339221846,467006,S,1,0,0
45,1,unknown,4390763257,4391260364,497107,S,1,0,0
46,1,unknown,4442753188,4443143280,390092,S,1,0,0
47,1,unknown,4494755680,4495273571,517891,S,1,0,0
48,1,unknown,4546754244,4547218328,464084,S,1,0,0
49,1,unknown,4598818302,4599268030,449728,S,1,0,0
50,1,unknown,4650807756,4651207688,399932,S,1,0,0
51,1,unknown,4702757008,4703217512,460504,S,1,0,0
52,1,unknown,4754754207,4755203043,448836,S,1,0,0
53,1,unknown,4806781937,4807241419,459482,S,1,0,0
54,1,unknown,4858756117,4859297344,541227,S,1,0,0
55,1,unknown,4910752227,4911248013,495786,S,1,0,0
56,1,unknown,4962763117,4963299701,536584,S,1,0,0
57,1,unknown,5014756707,5015224615,467908,S,1,0,0
58,1,unknown,5066753462,5067152180,398718,S,1,0,0
59,1,unknown,5118758955,5119239351,480396,S,1,0,0
60,1,unknown,5170757164,5171229601,472437,S,1,0,0
61,1,unknown,5222776254,5223344756,568502,S,1,0,0
62,1,unknown,5274759381,5275279356,519975,S,1,0,0
63,1,unknown,5326755322,5327239784,484462,S,1,0,0
64,1,unknown,5378753535,5379206166,452631,S,1,0,0
65,1,unknown,5430751580,5431196214,444634,S,1,0,0
66,1,unknown,5482753898,5483213147,459249,S,1,0,0
67,1,unknown,5534751395,5535226936,475541,S,1,0,0
68,1,unknown,5586756279,5587302114,545835,S,1,0,0
69,1,unknown,5638781049,5639231602,450553,S,1,0,0
70,1,unknown,5690755238,5691152963,397725,S,1,0,0
71,1,unknown,5741754878,5742157320,402442,S,1,0,0
72,1,unknown,5793749005,5794150591,401586,S,1,0,0
73,1,unknown,5845758631,5846231984,473353,S,1,0,0
74,1,unknown,5897744202,5898158619,414417,S,1,0,0
75,1,unknown,5949757786,5950249400,491614,S,1,0,0
76,1,unknown,6001745213,6002209375,464162,S,1,0,0
77,1,unknown,6053756918,6054228487,471569,S,1,0,0
78,1,unknown,6105752367,6106216976,464609,S,1,0,0
79,1,unknown,6157759576,6158243314,483738,S,1,0,0
80,1,unknown,6209764000,6210275751,511751,S,1,0,0
81,1,unknown,6261754398,6262223107,468709,S,1,0,0
82,1,unknown,6313753139,6314219813,466674,S,1,0,0
83,1,unknown,6365762174,6366210940,448766,S,1,0,0
84,1,unknown,6417756497,6418238886,482389,S,1,0,0
85,1,unknown,6469754682,6470236284,481602,S,1,0,0
86,1,unknown,6521752152,6522167319,415167,S,1,0,0
87,1,unknown,6573752778,6574207074,454296,S,1,0,0
88,1,unknown,6625753893,6626221852,467959,S,1,0,0
89,1,unknown,6677755883,6678225958,470075,S,1,0,0
90,1,unknown,6729755348,6730202908,447560,S,1,0,0
91,1,unknown,6781754670,6782239162,484492,S,1,0,0
92,1,unknown,6833759950,6834216428,456478,S,1,0,0
93,1,unknown,6885759601,6886240100,480499,S,1,0,0
94,1,unknown,6937759080,6938285982,526902,S,1,0,0
95,1,unknown,6989763024,6990193915,430891,S,1,0,0
96,1,unknown,7041804660,7042199438,394778,S,1,0,0
97,1,unknown,7092752216,7093185204,432988,S,1,0,0
98,1,unknown,7143754642,7144252261,497619,S,1,0,0
99,1,unknown,7195756064,7196289390,533326,S,1,0,0
