timestamp_ns,tier,core_utilization_pct,memory_used_bytes,memory_capacity_bytes,packets_processed,packets_queued,packets_dropped
2156798254,H,0,0,4294967296,4,0,0
2257753904,H,0,0,4294967296,8,0,0
2358746390,H,0,0,4294967296,12,0,0
2459748179,H,0,0,4294967296,16,0,0
2560754664,H,0,0,4294967296,20,0,0
2661754714,H,0,0,4294967296,24,0,0
2762744521,H,0,0,4294967296,28,0,0
2863887334,H,0,0,4294967296,32,0,0
2964811460,H,0,0,4294967296,36,0,0
3065751974,H,0,0,4294967296,40,0,0
3166757055,H,0,0,4294967296,44,0,0
3267749539,H,0,0,4294967296,48,0,0
3368745941,H,0,0,4294967296,52,0,0
3469779379,H,0,0,4294967296,56,0,0
3570742296,H,0,0,4294967296,60,0,0
3671737887,H,0,0,4294967296,64,0,0
3772744392,H,0,0,4294967296,68,0,0
3873744773,H,0,0,4294967296,72,0,0
3974753744,H,0,0,4294967296,74,0,0
4075749805,H,0,0,4294967296,78,0,0
4176753286,H,0,0,4294967296,82,0,0
4277753919,H,0,0,4294967296,86,0,0
4378748020,H,0,0,4294967296,90,0,0
4479751904,H,0,0,4294967296,94,0,0
4580750475,H,0,0,4294967296,98,0,0
4681773343,H,0,0,4294967296,102,0,0
4782761864,H,0,0,4294967296,106,0,0
4883758264,H,0,0,4294967296,110,0,0
4984750902,H,0,0,4294967296,114,0,0
5085748983,H,0,0,4294967296,118,0,0
5186750359,H,0,0,4294967296,122,0,0
5287743335,H,0,0,4294967296,126,0,0
5388739629,H,0,0,4294967296,130,0,0
5489736192,H,0,0,4294967296,134,0,0
5590757253,H,0,0,4294967296,138,0,0
5691736329,H,0,0,4294967296,142,0,0
5792777692,H,0,0,4294967296,144,0,0
5893748098,H,0,0,4294967296,148,0,0
5994750703,H,0,0,4294967296,152,0,0
6095750390,H,0,0,4294967296,156,0,0
6196753236,H,0,0,4294967296,160,0,0
6297747642,H,0,0,4294967296,164,0,0
6398748978,H,0,0,4294967296,168,0,0
6499756569,H,0,0,4294967296,172,0,0
6600748457,H,0,0,4294967296,176,0,0
6701761292,H,0,0,4294967296,180,0,0
6802749584,H,0,0,4294967296,184,0,0
6903753167,H,0,0,4294967296,188,0,0
7004743837,H,0,0,4294967296,192,0,0
7105748313,H,0,0,4294967296,196,0,0
7206750126,H,0,0,4294967296,200,0,0
