operation_id,primitive_type,placement_config,start_time_ns,end_time_ns,latency_ns,tier_path,num_tier_crossings,was_exception,exception_type
0,1,unknown,0,710428772,710428772,S->D->D->S,4,0,0
1,1,unknown,0,710523463,710523463,S->D->D->S,4,0,0
2,1,unknown,0,710529136,710529136,S->D->D->S,4,0,0
3,1,unknown,0,710535411,710535411,S->D->D->S,4,0,0
4,1,unknown,0,710558009,710558009,S->D->D->S,4,0,0
5,1,unknown,0,710580539,710580539,S->D->D->S,4,0,0
6,1,unknown,0,710603063,710603063,S->D->D->S,4,0,0
7,1,unknown,0,710625534,710625534,S->D->D->S,4,0,0
8,1,unknown,0,710648038,710648038,S->D->D->S,4,0,0
9,1,unknown,0,710671007,710671007,S->D->D->S,4,0,0
10,1,unknown,0,710693511,710693511,S->D->D->S,4,0,0
11,1,unknown,0,710715715,710715715,S->D->D->S,4,0,0
12,1,unknown,0,710737920,710737920,S->D->D->S,4,0,0
13,1,unknown,0,710760125,710760125,S->D->D->S,4,0,0
14,1,unknown,0,710782782,710782782,S->D->D->S,4,0,0
15,1,unknown,0,710804987,710804987,S->D->D->S,4,0,0
16,1,unknown,0,710827488,710827488,S->D->D->S,4,0,0
17,1,unknown,0,710849693,710849693,S->D->D->S,4,0,0
18,1,unknown,0,710871897,710871897,S->D->D->S,4,0,0
19,1,unknown,0,710894553,710894553,S->D->D->S,4,0,0
20,1,unknown,0,710917369,710917369,S->D->D->S,4,0,0
21,1,unknown,0,710939574,710939574,S->D->D->S,4,0,0
22,1,unknown,0,710961778,710961778,S->D->D->S,4,0,0
23,1,unknown,0,710983982,710983982,S->D->D->S,4,0,0
24,1,unknown,0,711006639,711006639,S->D->D->S,4,0,0
25,1,unknown,0,711028844,711028844,S->D->D->S,4,0,0
26,1,unknown,0,711051049,711051049,S->D->D->S,4,0,0
27,1,unknown,0,711073254,711073254,S->D->D->S,4,0,0
28,1,unknown,0,711098197,711098197,S->D->D->S,4,0,0
29,1,unknown,0,711121235,711121235,S->D->D->S,4,0,0
30,1,unknown,0,711143439,711143439,S->D->D->S,4,0,0
31,1,unknown,0,711166122,711166122,S->D->D->S,4,0,0
32,1,unknown,0,711189073,711189073,S->D->D->S,4,0,0
33,1,unknown,0,711211279,711211279,S->D->D->S,4,0,0
34,1,unknown,0,711233483,711233483,S->D->D->S,4,0,0
35,1,unknown,0,711255687,711255687,S->D->D->S,4,0,0
36,1,unknown,0,711277891,711277891,S->D->D->S,4,0,0
37,1,unknown,0,711300548,711300548,S->D->D->S,4,0,0
38,1,unknown,0,711322753,711322753,S->D->D->S,4,0,0
39,1,unknown,0,711344957,711344957,S->D->D->S,4,0,0
40,1,unknown,0,711367160,711367160,S->D->D->S,4,0,0
41,1,unknown,0,711389366,711389366,S->D->D->S,4,0,0
42,1,unknown,0,711412023,711412023,S->D->D->S,4,0,0
43,1,unknown,0,711434227,711434227,S->D->D->S,4,0,0
44,1,unknown,0,711456431,711456431,S->D->D->S,4,0,0
45,1,unknown,0,711478631,711478631,S->D->D->S,4,0,0
46,1,unknown,0,711500830,711500830,S->D->D->S,4,0,0
47,1,unknown,0,711523480,711523480,S->D->D->S,4,0,0
48,1,unknown,0,711546578,711546578,S->D->D->S,4,0,0
49,1,unknown,0,711568779,711568779,S->D->D->S,4,0,0
50,1,unknown,0,711590978,711590978,S->D->D->S,4,0,0
51,1,unknown,0,711613177,711613177,S->D->D->S,4,0,0
