operation_id,primitive_type,placement_config,start_time_ns,end_time_ns,latency_ns,tier_path,num_tier_crossings,was_exception,exception_type
0,1,unknown,710413354,710430289,16935,S,1,0,0
1,1,unknown,710474527,710483567,9040,S,1,0,0
2,1,unknown,710492940,710501988,9048,S,1,0,0
3,1,unknown,710511350,710520384,9034,S,1,0,0
4,1,unknown,710530198,710539245,9047,S,1,0,0
5,1,unknown,710548607,710557641,9034,S,1,0,0
6,1,unknown,710567003,710576038,9035,S,1,0,0
7,1,unknown,710585400,710594467,9067,S,1,0,0
8,1,unknown,710603829,710612863,9034,S,1,0,0
9,1,unknown,710622677,710631711,9034,S,1,0,0
10,1,unknown,710641073,710650107,9034,S,1,0,0
11,1,unknown,710659502,710668536,9034,S,1,0,0
12,1,unknown,710677931,710686965,9034,S,1,0,0
13,1,unknown,710696360,710705395,9035,S,1,0,0
14,1,unknown,710715242,710724276,9034,S,1,0,0
15,1,unknown,710733671,710743001,9330,S,1,0,0
16,1,unknown,710752396,710761430,9034,S,1,0,0
17,1,unknown,710770825,710779860,9035,S,1,0,0
18,1,unknown,710789255,710798290,9035,S,1,0,0
19,1,unknown,710808137,710817171,9034,S,1,0,0
20,1,unknown,710826566,710835600,9034,S,1,0,0
21,1,unknown,710844995,710854030,9035,S,1,0,0
22,1,unknown,710863425,710872460,9035,S,1,0,0
23,1,unknown,710881856,710890890,9034,S,1,0,0
24,1,unknown,710900737,710909771,9034,S,1,0,0
25,1,unknown,710919166,710928201,9035,S,1,0,0
26,1,unknown,710937596,710946631,9035,S,1,0,0
27,1,unknown,710956027,710965061,9034,S,1,0,0
28,1,unknown,710974359,710983393,9034,S,1,0,0
29,1,unknown,710993240,711002274,9034,S,1,0,0
30,1,unknown,711011670,711020704,9034,S,1,0,0
31,1,unknown,711030099,711039908,9809,S,1,0,0
32,1,unknown,711049303,711058336,9033,S,1,0,0
33,1,unknown,711067732,711076766,9034,S,1,0,0
34,1,unknown,711089625,711098658,9033,S,1,0,0
35,1,unknown,711108046,711117078,9032,S,1,0,0
36,1,unknown,711126466,711135498,9032,S,1,0,0
37,1,unknown,711145338,711154371,9033,S,1,0,0
38,1,unknown,711163759,711172791,9032,S,1,0,0
39,1,unknown,711182179,711191211,9032,S,1,0,0
40,1,unknown,711200599,711209632,9033,S,1,0,0
41,1,unknown,711219020,711228052,9032,S,1,0,0
42,1,unknown,711237892,711246924,9032,S,1,0,0
43,1,unknown,711256313,711265345,9032,S,1,0,0
44,1,unknown,711274734,711283766,9032,S,1,0,0
45,1,unknown,711293154,711302186,9032,S,1,0,0
46,1,unknown,711311574,711320607,9033,S,1,0,0
47,1,unknown,711330447,711339775,9328,S,1,0,0
48,1,unknown,711349072,711358104,9032,S,1,0,0
49,1,unknown,711367324,711376356,9032,S,1,0,0
50,1,unknown,711385745,711394777,9032,S,1,0,0
51,1,unknown,711404165,711413197,9032,S,1,0,0
52,1,unknown,711423040,711432073,9033,S,1,0,0
53,1,unknown,711441461,711450493,9032,S,1,0,0
