operation_id,primitive_type,placement_config,start_time_ns,end_time_ns,latency_ns,tier_path,num_tier_crossings,was_exception,exception_type
0,1,unknown,710416759,710433726,16967,S,1,0,0
1,1,unknown,710480482,710489522,9040,S,1,0,0
2,1,unknown,710498894,710507942,9048,S,1,0,0
3,1,unknown,710517304,710526338,9034,S,1,0,0
4,1,unknown,710536152,710545199,9047,S,1,0,0
5,1,unknown,710554562,710563596,9034,S,1,0,0
6,1,unknown,710572958,710581992,9034,S,1,0,0
7,1,unknown,710591354,710600388,9034,S,1,0,0
8,1,unknown,710609750,710618784,9034,S,1,0,0
9,1,unknown,710628598,710637633,9035,S,1,0,0
10,1,unknown,710646996,710656030,9034,S,1,0,0
11,1,unknown,710665425,710674459,9034,S,1,0,0
12,1,unknown,710683855,710692889,9034,S,1,0,0
13,1,unknown,710702284,710711318,9034,S,1,0,0
14,1,unknown,710721165,710730199,9034,S,1,0,0
15,1,unknown,710739594,710748924,9330,S,1,0,0
16,1,unknown,710758320,710767354,9034,S,1,0,0
17,1,unknown,710776749,710785783,9034,S,1,0,0
18,1,unknown,710795178,710804212,9034,S,1,0,0
19,1,unknown,710814059,710823093,9034,S,1,0,0
20,1,unknown,710832394,710841429,9035,S,1,0,0
21,1,unknown,710850825,710859859,9034,S,1,0,0
22,1,unknown,710869255,710878289,9034,S,1,0,0
23,1,unknown,710887684,710896718,9034,S,1,0,0
24,1,unknown,710906565,710915600,9035,S,1,0,0
25,1,unknown,710924996,710934030,9034,S,1,0,0
26,1,unknown,710943426,710952460,9034,S,1,0,0
27,1,unknown,710961855,710970889,9034,S,1,0,0
28,1,unknown,710980187,710989221,9034,S,1,0,0
29,1,unknown,710999068,711008102,9034,S,1,0,0
30,1,unknown,711017497,711026531,9034,S,1,0,0
31,1,unknown,711035926,711045734,9808,S,1,0,0
32,1,unknown,711055129,711064163,9034,S,1,0,0
33,1,unknown,711073558,711085320,11762,S,1,0,0
34,1,unknown,711095565,711104599,9034,S,1,0,0
35,1,unknown,711113994,711123026,9032,S,1,0,0
36,1,unknown,711132414,711141446,9032,S,1,0,0
37,1,unknown,711150834,711159867,9033,S,1,0,0
38,1,unknown,711169256,711178288,9032,S,1,0,0
39,1,unknown,711187676,711196708,9032,S,1,0,0
40,1,unknown,711206096,711215128,9032,S,1,0,0
41,1,unknown,711224968,711234001,9033,S,1,0,0
42,1,unknown,711243389,711252421,9032,S,1,0,0
43,1,unknown,711261809,711270841,9032,S,1,0,0
44,1,unknown,711280229,711289262,9033,S,1,0,0
45,1,unknown,711298650,711307682,9032,S,1,0,0
