operation_id,primitive_type,placement_config,start_time_ns,end_time_ns,latency_ns,tier_path,num_tier_crossings,was_exception,exception_type
0,1,unknown,710411449,710429867,18418,S,1,0,0
1,1,unknown,710474582,710483622,9040,S,1,0,0
2,1,unknown,710492995,710502043,9048,S,1,0,0
3,1,unknown,710511405,710520439,9034,S,1,0,0
4,1,unknown,710530253,710539300,9047,S,1,0,0
5,1,unknown,710548662,710557696,9034,S,1,0,0
6,1,unknown,710567058,710576093,9035,S,1,0,0
7,1,unknown,710585455,710594522,9067,S,1,0,0
8,1,unknown,710603884,710612918,9034,S,1,0,0
9,1,unknown,710622732,710631766,9034,S,1,0,0
10,1,unknown,710641128,710650162,9034,S,1,0,0
11,1,unknown,710659557,710668591,9034,S,1,0,0
12,1,unknown,710677986,710687020,9034,S,1,0,0
13,1,unknown,710696415,710705450,9035,S,1,0,0
14,1,unknown,710715297,710724331,9034,S,1,0,0
15,1,unknown,710733726,710743056,9330,S,1,0,0
16,1,unknown,710752451,710761485,9034,S,1,0,0
17,1,unknown,710770880,710779915,9035,S,1,0,0
18,1,unknown,710789310,710798345,9035,S,1,0,0
19,1,unknown,710808192,710817226,9034,S,1,0,0
20,1,unknown,710826621,710835655,9034,S,1,0,0
21,1,unknown,710845050,710854085,9035,S,1,0,0
22,1,unknown,710863480,710872515,9035,S,1,0,0
23,1,unknown,710881911,710890945,9034,S,1,0,0
24,1,unknown,710900792,710909826,9034,S,1,0,0
25,1,unknown,710919221,710928256,9035,S,1,0,0
26,1,unknown,710937651,710946686,9035,S,1,0,0
27,1,unknown,710956082,710965116,9034,S,1,0,0
28,1,unknown,710974414,710983448,9034,S,1,0,0
29,1,unknown,710993295,711002329,9034,S,1,0,0
30,1,unknown,711011725,711020759,9034,S,1,0,0
31,1,unknown,711030154,711039963,9809,S,1,0,0
32,1,unknown,711049358,711058391,9033,S,1,0,0
33,1,unknown,711067787,711076821,9034,S,1,0,0
34,1,unknown,711089523,711098556,9033,S,1,0,0
35,1,unknown,711107944,711116976,9032,S,1,0,0
36,1,unknown,711126364,711135397,9033,S,1,0,0
37,1,unknown,711145237,711154269,9032,S,1,0,0
38,1,unknown,711163657,711172689,9032,S,1,0,0
39,1,unknown,711182078,711191110,9032,S,1,0,0
40,1,unknown,711200499,711209531,9032,S,1,0,0
41,1,unknown,711218919,711227951,9032,S,1,0,0
42,1,unknown,711237791,711246823,9032,S,1,0,0
43,1,unknown,711256211,711265243,9032,S,1,0,0
44,1,unknown,711274631,711283663,9032,S,1,0,0
45,1,unknown,711293051,711302084,9033,S,1,0,0
46,1,unknown,711311473,711320505,9032,S,1,0,0
47,1,unknown,711330345,711339673,9328,S,1,0,0
48,1,unknown,711348970,711358003,9033,S,1,0,0
49,1,unknown,711367223,711376256,9033,S,1,0,0
50,1,unknown,711385644,711394676,9032,S,1,0,0
51,1,unknown,711404064,711413096,9032,S,1,0,0
52,1,unknown,711422940,711431972,9032,S,1,0,0
53,1,unknown,711441360,711450393,9033,S,1,0,0
54,1,unknown,711459782,711468814,9032,S,1,0,0
55,1,unknown,711478202,711487234,9032,S,1,0,0
56,1,unknown,711496528,711505560,9032,S,1,0,0
57,1,unknown,711515400,711524433,9033,S,1,0,0
58,1,unknown,711533821,711542853,9032,S,1,0,0
